Contract Number,RS- Name,Account Name,Account ID
469200,United Cooperative (Beaver Dam WI),United Cooperative (Beaver Dam WI),0017000000yIUp8
469194,LANDUS COOPERATIVE,LANDUS COOPERATIVE,0017000000yIUz4
469193,The Farmers Elevator Grain and Supply Association,The Farmers Elevator Grain and Supply Association,0017000001Uvo54
469185,GROWMARK INC,GROWMARK INC,0017000000yIUyR
469132,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
469130,Stillwater Milling Company,Stillwater Milling Company,0017000000yIUjU
469125,Frontier Station Inc,Frontier Station Inc,0017000000yW3gK
469124,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
469123,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
469122,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
469121,Panhandle Coop Association,Panhandle Coop Association,0010g00001iRuAR
469120,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
469119,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
469118,B&R Fertilizer LLC,B&R Fertilizer LLC,0010g00001mLMKD
469117,Country Partners Cooperative,Country Partners Cooperative,0017000000yIUaR
469115,United Cooperative (Beaver Dam WI),United Cooperative (Beaver Dam WI),0017000000yIUp8
469114,Cooperative Association No 2,Cooperative Association No 2,0010g00001m1zG4
469113,Shawnee Milling Co,Shawnee Milling Co,0017000000yW3om
469112,Agronomy Sciences LLC dba Hefty Seed Co,Agronomy Sciences LLC dba Hefty Seed Co,0017000000yIVBu
469111,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
469107,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
469106,Falor Farm Center Inc,Falor Farm Center Inc,0017000000yIUdN
469105,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
469103,Ag Partners Coop,Ag Partners Coop,0017000000yIV3H
469102,International Chemical Company,International Chemical Company,0017000000yIUxE
469101,Longnecker Fertilizers LLC,Longnecker Fertilizers LLC,0017000000yIT5Q
469099,Mid Kansas Cooperative Association,Mid Kansas Cooperative Association,0017000000yIUug
469097,Bartlett Grain Company LP,Bartlett Grain Company LP,0017000000yIV20
469094,CHS INC,CHS INC,0017000000yIV1Q
469092,Aurora Cooperative,Aurora Cooperative,0017000000yIV2G
469089,GROWMARK INC,GROWMARK INC,0017000000yIUyR
469087,Willard Agri-Service of Frederick Inc,Willard Agri-Service of Frederick Inc,0017000000yIUds
469086,GROWMARK INC,GROWMARK INC,0017000000yIUyR
469084,Farmers Cooperative Elevator Co (Hudsonville),Farmers Cooperative Elevator Co (Hudsonville),0017000000yIUfi
469083,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
469081,ADM Fertilizer Division of Archer Daniels Midland,ADM Fertilizer Division of Archer Daniels Midland,0017000000yIUjP
469078,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
469077,Fieldcrest Fertilizer,Fieldcrest Fertilizer,0017000000yW3wU
469075,Sun Ag Inc,Sun Ag Inc,0017000000yIUqP
469073,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
469069,MACROSOURCE LLC,MACROSOURCE LLC,0014u00001zo2XuAAI
469014,Agronomy Sciences LLC dba Hefty Seed Co,Agronomy Sciences LLC dba Hefty Seed Co,0017000000yIVBu
469013,Agresource,Agresource,0017000000yIUq1
469006,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
469000,Kanza Cooperative Association,Kanza Cooperative Association,0017000000yW3tc
468999,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
468997,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468993,River Valley Ag Services LLC,River Valley Ag Services LLC,0017000001BdiTh
468990,MACROSOURCE LLC,MACROSOURCE LLC,0014u00001zo2XuAAI
468988,Nebraskaland Aviation Inc,Nebraskaland Aviation Inc,0017000001Uwwfd
468987,Agresource,Agresource,0017000000yIUq1
468985,Wholesale Ag Products,Wholesale Ag Products,0017000000yIW1e
468981,Diamond K Seeds LLC,Diamond K Seeds LLC,0017000000yIV05
468978,Twin State Inc,Twin State Inc,0017000000yIUpT
468977,Hefty Cedar County Inc,Hefty Cedar County Inc,0017000001R8oGE
468975,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468973,Bryan Agri Products,Bryan Agri Products,0010g00001aNnz5
468970,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468968,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468964,CHS INC,CHS INC,0017000000yIV1Q
468963,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468962,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468958,Country Partners Cooperative,Country Partners Cooperative,0017000000yIUaR
468956,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468955,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468951,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468950,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468947,Hefty Cedar County Inc,Hefty Cedar County Inc,0017000001R8oGE
468946,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
468945,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468941,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468940,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468939,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468938,Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),0017000000yIUzE
468935,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
468933,Agrovalley Inc,Agrovalley Inc,0010g00001d5HdP
468932,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
468931,Larson Grain Co,Larson Grain Co,0017000001JbbC7
468930,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468928,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468926,Two Rivers Consumers Cooperative Assn Inc,Two Rivers Consumers Cooperative Assn Inc,0017000000yIUpR
468921,Two Rivers Consumers Cooperative Assn Inc,Two Rivers Consumers Cooperative Assn Inc,0017000000yIUpR
468918,Agrovalley Inc,Agrovalley Inc,0010g00001d5HdP
468911,ThorAg LLC,ThorAg LLC,0017000000yJDJ2
468908,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468870,Pacific Coast Resources Corporation,Pacific Coast Resources Corporation,0017000000yW3qo
468868,Rocky Mountain Agronomics Inc,Rocky Mountain Agronomics Inc,0017000000yW3aV
468854,Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),0017000000yIUzE
468841,Central Plains Ag Services,Central Plains Ag Services,0017000000yIUml
468837,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468836,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468835,Central Region Cooperative,Central Region Cooperative,0017000000yW3ab
468834,Burnett Dairy Cooperative,Burnett Dairy Cooperative,0010g00001brlXM
468833,Anthony Farmers Coop Elevator Co,Anthony Farmers Coop Elevator Co,0017000000yIV2T
468831,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468830,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468828,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468825,"Producers Cooperative Association (Girard, KS)","Producers Cooperative Association (Girard, KS)",0010g00001jjJ3k
468824,Cimarron Valley Co-op Inc,Cimarron Valley Co-op Inc,0010g00001iRlq3
468823,CHS INC,CHS INC,0017000000yIV1Q
468822,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
468820,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
468818,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468814,Pawnee County Cooperative Association,Pawnee County Cooperative Association,0017000000yW3qh
468813,Pawnee County Cooperative Association,Pawnee County Cooperative Association,0017000000yW3qh
468799,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
468797,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468795,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468792,CHS INC,CHS INC,0017000000yIV1Q
468782,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468780,Allied Cooperative,Allied Cooperative,0017000000yIUeK
468779,Falor Farm Center Inc,Falor Farm Center Inc,0017000000yIUdN
468777,Agronomy Sciences LLC dba Hefty Seed Co,Agronomy Sciences LLC dba Hefty Seed Co,0017000000yIVBu
468774,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468773,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468772,Anthony Farmers Coop Elevator Co,Anthony Farmers Coop Elevator Co,0017000000yIV2T
468771,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468769,Loveland Products Inc,Loveland Products Inc,0017000000yIV6u
468768,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468765,Panhandle Coop Association,Panhandle Coop Association,0010g00001iRuAR
468763,Bartlett Grain Company LP,Bartlett Grain Company LP,0017000000yIV20
468762,Hefty Cedar County Inc,Hefty Cedar County Inc,0017000001R8oGE
468761,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468758,International Chemical Company,International Chemical Company,0017000000yIUxE
468749,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
468745,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468735,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468729,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,0017000000yIW2I
468728,Agresource,Agresource,0017000000yIUq1
468727,Agresource,Agresource,0017000000yIUq1
468726,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
468721,Simplot AB Retail Sub Inc,Simplot AB Retail Sub Inc,0017000000yIUwp
468718,Eickhoff Fertilizer,Eickhoff Fertilizer,0017000001OO4HT
468717,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
468713,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
468711,H & H Ag Solutions LLC,H & H Ag Solutions LLC,0017000000yIUXd
468710,Farmers Cooperative Elevator Co (Hudsonville),Farmers Cooperative Elevator Co (Hudsonville),0017000000yIUfi
468709,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468703,NEW Cooperative Inc,NEW Cooperative Inc,0017000000yIUtv
468702,Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),Farmers Coop Mill & Elevator Assc Inc (Carnegie OK),0017000000yIUzE
468701,NEW Cooperative Inc,NEW Cooperative Inc,0017000000yIUtv
468699,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
468694,ADM Fertilizer Division of Archer Daniels Midland,ADM Fertilizer Division of Archer Daniels Midland,0017000000yIUjP
468693,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468670,International Chemical Company,International Chemical Company,0017000000yIUxE
468669,Herbers Seed & Consulting Inc,Herbers Seed & Consulting Inc,0017000000yIUxj
468668,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468661,Aurora Cooperative,Aurora Cooperative,0017000000yIV2G
468647,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468631,International Chemical Company,International Chemical Company,0017000000yIUxE
468625,Two Rivers Consumers Cooperative Assn Inc,Two Rivers Consumers Cooperative Assn Inc,0017000000yIUpR
468623,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468622,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
468612,Krown Inc dba Hi-Yield Products,Krown Inc dba Hi-Yield Products,0017000001MOrZ7
468610,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468608,Krown Inc dba Hi-Yield Products,Krown Inc dba Hi-Yield Products,0017000001MOrZ7
468604,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468603,CTS Liquid Feed LLC,CTS Liquid Feed LLC,0014u0000248yXu
468600,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
468595,Flagler Aerial Spraying Inc,Flagler Aerial Spraying Inc,0017000000yIQ6i
468592,Prattville Fertilizer and Grain Inc,Prattville Fertilizer and Grain Inc,0017000000yIT6p
468590,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468587,Helm Fertilizer Corp,Helm Fertilizer Corp,0017000000yIUxl
468583,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468582,Central Ag Commodities LLC,Central Ag Commodities LLC,0017000000yIV1A
468581,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468578,Trotter Inc,Trotter Inc,0017000000yIUpX
468574,Krown Inc dba Hi-Yield Products,Krown Inc dba Hi-Yield Products,0017000001MOrZ7
468571,Hefty Cedar County Inc,Hefty Cedar County Inc,0017000001R8oGE
468569,Farmers Ag & Grain Supply,Farmers Ag & Grain Supply,0017000000yIUm9
468568,CHS INC,CHS INC,0017000000yIV1Q
468565,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468561,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468557,Aurora Cooperative,Aurora Cooperative,0017000000yIV2G
468553,Ray-Carroll County Grain Growers Inc,Ray-Carroll County Grain Growers Inc,0017000000yW3aj
468549,Frenchman Valley Farmers Cooperative Inc,Frenchman Valley Farmers Cooperative Inc,0017000000yIUyd
468547,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
468544,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468540,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468536,Anthony Farmers Coop Elevator Co,Anthony Farmers Coop Elevator Co,0017000000yIV2T
468535,GROWMARK INC,GROWMARK INC,0017000000yIUyR
468534,Pawnee County Cooperative Association,Pawnee County Cooperative Association,0017000000yW3qh
468533,Pawnee County Cooperative Association,Pawnee County Cooperative Association,0017000000yW3qh
468532,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468531,NEW Cooperative Inc,NEW Cooperative Inc,0017000000yIUtv
468530,Longnecker Fertilizers LLC,Longnecker Fertilizers LLC,0017000000yIT5Q
468529,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468525,Northern Ag Suppliers,Northern Ag Suppliers,0017000001QzhVz
468524,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
468523,USA for Heartland Co-op (West Des Moines IA),Heartland Co-Op,0017000000yIUxp
468520,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468519,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468518,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468517,International Chemical Company,International Chemical Company,0017000000yIUxE
468516,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468515,Gary & Greg Schuermann dba S & S Fertilizer,Gary & Greg Schuermann dba S & S Fertilizer,0017000001Uy6BB
468513,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468512,Kugler Oil Company,Kugler Oil Company,0017000000yIUve
468510,Wilbur-Ellis Company,Wilbur-Ellis Company,0017000000yIUoL
468509,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468508,CHS Brandon,CHS Brandon,0017000000yIUzp
468488,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468487,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468486,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468480,Central Valley Ag Cooperative Nonstock,Central Valley Ag Cooperative Nonstock,0017000000yIV16
468479,Madison's Great Western,Madison's Great Western,0010g00001bqeQ3
468475,Kanza Cooperative Association,Kanza Cooperative Association,0017000000yW3tc
468472,B-K Ag Supply Inc,B-K Ag Supply Inc,0017000000yIV2C
468467,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468466,Poole Chemical Inc (Texline TX),Poole Chemical Inc (Texline TX),0017000000yIUsJ
468465,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468463,Eldon C Stutsman Inc,Eldon C Stutsman Inc,0017000000yIUzi
468462,McClaflin Enterprises LLC,McClaflin Enterprises LLC,0017000000yIW10
468461,CHS INC,CHS INC,0017000000yIV1Q
468460,AgWorx LLC,AgWorx LLC,0010g00001h14Hd
468457,The Dune Company of Yuma LLC,The Dune Company of Yuma LLC,0017000000yIUbv
468454,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468453,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
468451,Eickhoff Fertilizer,Eickhoff Fertilizer,0017000001OO4HT
468450,Northern Ag Suppliers,Northern Ag Suppliers,0017000001QzhVz
468449,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468447,Frontier Trading Inc,Frontier Trading Inc,0017000000yIW0d
468446,ADM Fertilizer Division of Archer Daniels Midland,ADM Fertilizer Division of Archer Daniels Midland,0017000000yIUjP
468444,COG Marketers Ltd,COG Marketers Ltd,0017000000yIV7T
468443,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468442,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468441,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468440,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468439,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468438,Jim Hicks & Company LLC,Jim Hicks & Company LLC,0017000000yIUwq
468437,Country Partners Cooperative,Country Partners Cooperative,0017000000yIUaR
468431,Simplot AB Retail Inc dba Simplot Grower Solutions,Simplot AB Retail Inc dba Simplot Grower Solutions,0014u00001pyNW7
468430,Country Partners Cooperative,Country Partners Cooperative,0017000000yIUaR
468428,Art's Milling Service Inc,Art's Milling Service Inc,0017000000yIPRQ
468427,Agronomy Sciences LLC dba Hefty Seed Co,Agronomy Sciences LLC dba Hefty Seed Co,0017000000yIVBu
468425,Ag Plus,Ag Plus,0014u00001twyAP
468424,Federated Co-ops Inc,Federated Co-ops Inc,0017000000yIUyt
468423,Pride Ag Resources,Pride Ag Resources,0017000000yIV02
468421,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
468420,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
468419,Bartlett Grain Company LP,Bartlett Grain Company LP,0017000000yIV20
468418,USA for Cooperative Farmers Elevator (Rock Valley),Cooperative Farmers Elevator (Rock Valley),0017000000yW3ga
468415,International Chemical Company,International Chemical Company,0017000000yIUxE
468413,Meherrin Fertilizer Inc,Meherrin Fertilizer Inc,0017000000yIUux
468412,CHS INC,CHS INC,0017000000yIV1Q
468411,Farmers Cooperative Elevator Co (Hudsonville),Farmers Cooperative Elevator Co (Hudsonville),0017000000yIUfi
468410,Farmers Cooperative Elevator Co (Hudsonville),Farmers Cooperative Elevator Co (Hudsonville),0017000000yIUfi
468409,International Chemical Company,International Chemical Company,0017000000yIUxE
468408,International Chemical Company,International Chemical Company,0017000000yIUxE
468407,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
468406,Nutrien Ag Solutions Inc,Nutrien Ag Solutions Inc,0017000000yIV0T
468405,United Farmers Cooperative (Winthrop MN),United Farmers Cooperative (Winthrop MN),0017000000yW3Xw
468404,Bryan Agri Products,Bryan Agri Products,0010g00001aNnz5
468403,Poole Chemical Inc (Texline TX),Poole Chemical Inc (Texline TX),0017000000yIUsJ
