countyCode,REGION,STATE,COUNTY,ZIP CODE
47141,,TN,PUTNAM,38574
39161,,OH,VAN WERT,45899
54005,,WV,BOONE,25529
17097,IL E,IL,LAKE,60060
9005,,CT,LITCHFIELD,06785
46109,,SD,ROBERTS,57257
25027,,MA,WORCESTER,01434
54049,,WV,MARION,26587
6001,,CA,ALAMEDA,94705
41007,OR W,OR,CLATSOP,97145
13179,,GA,LIBERTY,31313
20091,KS NC,KS,JOHNSON,66083
42033,,PA,CLEARFIELD,16861
36065,,NY,ONEIDA,13441
26147,,MI,ST. CLAIR,48060
47003,,TN,BEDFORD,37183
30027,MT N,MT,FERGUS,59441
21011,,KY,BATH,40358
5069,,AR,JEFFERSON,72168
37015,NC NE,NC,BERTIE,27924
30091,MT E,MT,SHERIDAN,59252
38043,,ND,KIDDER,58488
20049,KS SC,KS,ELK,67346
46087,,SD,MCCOOK,57048
47093,,TN,KNOX,37721
26105,,MI,MASON,49411
53073,WA W,WA,WHATCOM,98247
4017,,AZ,NAVAJO,86042
51041,VA SE,VA,CHESTERFIELD,23112
41043,OR W,OR,LINN,97360
48193,TX C,TX,HAMILTON,76457
36087,,NY,ROCKLAND,10965
23031,,ME,YORK,04042
38055,,ND,MCLEAN,58559
1073,,AL,JEFFERSON,35023
51075,VA N,VA,GOOCHLAND,23039
35055,,NM,TAOS,87577
24005,,MD,BALTIMORE,21250
23019,,ME,PENOBSCOT,04427
21107,,KY,HOPKINS,42413
27147,MN S,MN,STEELE,55917
29195,MO NW,MO,SALINE,65321
39113,,OH,MONTGOMERY,45402
,OK SE,OK,CARTER,73402
12039,,FL,GADSDEN,32351
54081,,WV,RALEIGH,25911
26139,,MI,OTTAWA,49404
38011,,ND,BOWMAN,58623
6013,,CA,CONTRA COSTA,94583
18169,,IN,WABASH,46943
18063,,IN,HENDRICKS,46122
72057,,PR,GUAYAMA,00784
48485,TX C,TX,WICHITA,76306
12017,,FL,CITRUS,34428
51109,VA N,VA,LOUISA,23024
27029,MN N,MN,CLEARWATER,56621
19187,IA NW,IA,WEBSTER,50501
36119,,NY,WESTCHESTER,10505
6037,,CA,LOS ANGELES,90807
16051,ID E,ID,JEFFERSON,83434
41043,OR W,OR,LINN,97355
36023,,NY,CORTLAND,13141
1009,,AL,BLOUNT,35049
45079,SC NW,SC,RICHLAND,29052
53055,WA W,WA,SAN JUAN,98297
23015,,ME,LINCOLN,04342
23003,,ME,AROOSTOOK,04747
46135,,SD,YANKTON,57072
48263,TX NW,TX,KENT,79528
35045,,NM,SAN JUAN,87420
48113,TX NE,TX,DALLAS,75210
6083,,CA,SANTA BARBARA,93434
48119,,TX,DELTA,75441
25017,,MA,MIDDLESEX,02472
39111,,OH,MONROE,43716
33017,,NH,STRAFFORD,03852
48373,TX NE,TX,POLK,77351
51061,VA N,VA,FAUQUIER,20115
24003,,MD,ANNE ARUNDEL,21114
39099,,OH,MAHONING,44503
6073,,CA,SAN DIEGO,92083
48323,,TX,MAVERICK,78860
51153,VA N,VA,PRINCE WILLIAM,22191
8005,,CO,ARAPAHOE,80103
37119,NC W,NC,MECKLENBURG,28206
19073,IA SW,IA,GREENE,50235
36017,,NY,CHENANGO,13464
53055,WA W,WA,SAN JUAN,98250
48045,TX NW,TX,BRISCOE,79257
33009,,NH,GRAFTON,03784
37049,NC SE,NC,CRAVEN,28527
54019,,WV,FAYETTE,25085
35031,,NM,MCKINLEY,87347
48463,TX C,TX,UVALDE,78870
22017,,LA,CADDO,71069
38017,,ND,CASS,58103
36119,,NY,WESTCHESTER,10576
18157,,IN,TIPPECANOE,47920
46043,,SD,DOUGLAS,57344
40053,OK NW,OK,GRANT,73766
30027,MT N,MT,FERGUS,59457
47103,,TN,LINCOLN,37144
31175,NE C,NE,VALLEY,68837
25001,,MA,BARNSTABLE,02660
30053,MT W,MT,LINCOLN,59935
47091,,TN,JOHNSON,37640
37119,NC W,NC,MECKLENBURG,28202
26037,,MI,CLINTON,48822
27131,MN S,MN,RICE,55087
4027,,AZ,YUMA,85333
30063,MT W,MT,MISSOULA,59847
34025,,NJ,MONMOUTH,07730
17109,IL W,IL,MCDONOUGH,61411
42033,,PA,CLEARFIELD,15866
6019,,CA,FRESNO,93622
29077,MO SW,MO,GREENE,65738
6039,,CA,MADERA,93637
17097,IL E,IL,LAKE,60044
55029,WI SE,WI,DOOR,54235
48229,TX S,TX,HUDSPETH,79839
22095,,LA,ST. JOHN THE BAPTIST,70049
23013,,ME,KNOX,04847
34021,,NJ,MERCER,08512
6071,,CA,SAN BERNARDINO,92307
,OK NW,OK,WASHINGTON,74004
6059,,CA,ORANGE,92804
22071,,LA,ORLEANS,70116
42011,,PA,BERKS,19544
54059,,WV,MINGO,25670
36103,,NY,SUFFOLK,06390
53053,WA W,WA,PIERCE,98580
49045,UT NW,UT,TOOELE,84080
36103,,NY,SUFFOLK,11941
36023,,NY,CORTLAND,13040
16041,ID E,ID,FRANKLIN,83228
17193,IL E,IL,WHITE,62835
54039,,WV,KANAWHA,25156
22007,,LA,ASSUMPTION,70393
26145,,MI,SAGINAW,48603
27053,MN C,MN,HENNEPIN,55331
55121,WI SW,WI,TREMPEALEAU,54661
51069,VA N,VA,FREDERICK,22645
40143,OK NW,OK,TULSA,74135
44007,,RI,PROVIDENCE,02831
27157,MN S,MN,WABASHA,55956
36013,,NY,CHAUTAUQUA,14742
21051,,KY,CLAY,40972
34007,,NJ,CAMDEN,08109
12083,,FL,MARION,32195
36091,,NY,SARATOGA,12831
26125,,MI,OAKLAND,48374
,NE SE,NE,DOUGLAS,68139
29067,,MO,DOUGLAS,65755
42011,,PA,BERKS,19507
25011,,MA,FRANKLIN,01339
29071,MO SE,MO,FRANKLIN,63077
18145,,IN,SHELBY,47234
55133,WI SE,WI,WAUKESHA,53029
36099,,NY,SENECA,14860
29077,MO SW,MO,GREENE,65803
36021,,NY,COLUMBIA,12024
45029,SC S,SC,COLLETON,29474
36005,,NY,BRONX,10456
21095,,KY,HARLAN,40843
36099,,NY,SENECA,13165
29165,MO NW,MO,PLATTE,64098
41053,OR W,OR,POLK,97361
53053,WA W,WA,PIERCE,98433
37009,NC W,NC,ASHE,28629
48223,TX NE,TX,HOPKINS,75433
13295,,GA,WALKER,30750
24043,,MD,WASHINGTON,21750
26129,,MI,OGEMAW,48654
41007,OR W,OR,CLATSOP,97121
39099,,OH,MAHONING,44405
54061,,WV,MONONGALIA,26590
20011,KS SE,KS,BOURBON,66779
55033,WI N,WI,DUNN,54739
40107,OK NW,OK,OKFUSKEE,74833
32013,,NV,HUMBOLDT,89446
28079,,MS,LEAKE,39189
9005,,CT,LITCHFIELD,06018
36025,,NY,DELAWARE,13806
17105,IL E,IL,LIVINGSTON,61740
40125,OK NW,OK,POTTAWATOMIE,74873
19127,IA SE,IA,MARSHALL,50234
12061,,FL,INDIAN RIVER,32948
55079,WI SE,WI,MILWAUKEE,53206
6071,,CA,SAN BERNARDINO,92371
39081,,OH,JEFFERSON,43970
39061,,OH,HAMILTON,45206
31111,NE C,NE,LINCOLN,69151
1015,,AL,CALHOUN,36250
54081,,WV,RALEIGH,25878
27083,MN S,MN,LYON,56291
51041,VA SE,VA,CHESTERFIELD,23838
56013,WY SW,WY,FREMONT,82501
19061,IA NE,IA,DUBUQUE,52053
36103,,NY,SUFFOLK,11968
51740,VA SE,VA,PORTSMOUTH,23708
25027,,MA,WORCESTER,01569
26155,,MI,SHIAWASSEE,48418
55021,WI SW,WI,COLUMBIA,53969
6073,,CA,SAN DIEGO,92115
36105,,NY,SULLIVAN,12788
23005,,ME,CUMBERLAND,04021
26051,,MI,GLADWIN,48612
1089,,AL,MADISON,35773
17109,IL W,IL,MCDONOUGH,61438
27035,MN C,MN,CROW WING,56472
48347,TX NE,TX,NACOGDOCHES,75946
42003,,PA,ALLEGHENY,15146
4003,,AZ,COCHISE,85608
50017,,VT,ORANGE,05039
8025,CO E,CO,CROWLEY,81063
48303,TX NW,TX,LUBBOCK,79363
16079,ID N,ID,SHOSHONE,83802
24041,,MD,TALBOT,21624
13073,,GA,COLUMBIA,30802
47091,,TN,JOHNSON,37688
22035,,LA,EAST CARROLL,71276
13321,,GA,WORTH,31781
34029,,NJ,OCEAN,08527
55037,WI N,WI,FLORENCE,54542
29147,MO NW,MO,NODAWAY,64475
54017,,WV,DODDRIDGE,26339
48201,TX S,TX,HARRIS,77057
50011,,VT,FRANKLIN,05444
24019,,MD,DORCHESTER,21627
42051,,PA,FAYETTE,15422
24029,,MD,KENT,21651
10005,,DE,SUSSEX,19945
35049,,NM,SANTA FE,87505
29125,MO SE,MO,MARIES,65582
34025,,NJ,MONMOUTH,08555
20091,KS NC,KS,JOHNSON,66208
37183,NC SE,NC,WAKE,27607
17143,IL W,IL,PEORIA,61602
42003,,PA,ALLEGHENY,15102
23003,,ME,AROOSTOOK,04776
27055,MN S,MN,HOUSTON,55943
47179,,TN,WASHINGTON,37604
51125,VA N,VA,NELSON,22949
19103,IA SE,IA,JOHNSON,52340
31163,NE C,NE,SHERMAN,68844
1115,,AL,ST. CLAIR,35987
20113,KS SC,KS,MCPHERSON,67546
34025,,NJ,MONMOUTH,07702
25017,,MA,MIDDLESEX,01890
8031,CO E,CO,DENVER,80210
19081,IA NW,IA,HANCOCK,50432
34015,,NJ,GLOUCESTER,08062
26081,,MI,KENT,49341
39049,,OH,FRANKLIN,43016
25017,,MA,MIDDLESEX,01702
36055,,NY,MONROE,14467
48197,TX NW,TX,HARDEMAN,79225
31031,NE NW,NE,CHERRY,69135
23017,,ME,OXFORD,04220
29047,MO NW,MO,CLAY,64060
6073,,CA,SAN DIEGO,92140
47149,,TN,RUTHERFORD,37127
25023,,MA,PLYMOUTH,02061
40013,OK SE,OK,BRYAN,74747
27139,MN S,MN,SCOTT,55352
17031,IL E,IL,COOK,60076
42101,,PA,PHILADELPHIA,19119
40079,OK SE,OK,LE FLORE,74901
48141,TX S,TX,EL PASO,79901
5091,,AR,MILLER,71854
39151,,OH,STARK,44703
23005,,ME,CUMBERLAND,04029
48203,TX NE,TX,HARRISON,75692
31071,NE C,NE,GARFIELD,68823
26147,,MI,ST. CLAIR,48001
42095,,PA,NORTHAMPTON,18351
47059,,TN,GREENE,37743
18173,,IN,WARRICK,47613
48467,TX NE,TX,VAN ZANDT,75790
36101,,NY,STEUBEN,14807
38067,,ND,PEMBINA,58222
49003,UT NW,UT,BOX ELDER,84324
40021,OK NW,OK,CHEROKEE,74452
42117,,PA,TIOGA,16920
48403,TX NE,TX,SABINE,75959
23031,,ME,YORK,03907
54005,,WV,BOONE,25209
51125,VA N,VA,NELSON,22971
53015,WA W,WA,COWLITZ,98674
41039,OR W,OR,LANE,97401
13117,,GA,FORSYTH,30041
17045,IL E,IL,EDGAR,61932
1025,,AL,CLARKE,36784
55045,WI SW,WI,GREEN,53550
35017,,NM,GRANT,88055
40037,OK NW,OK,CREEK,74044
48401,TX NE,TX,RUSK,75654
,KS NC,KS,JOHNSON,66225
36059,,NY,NASSAU,11791
39155,,OH,TRUMBULL,44473
22047,,LA,IBERVILLE,70772
54027,,WV,HAMPSHIRE,26823
22027,,LA,CLAIBORNE,71038
38071,,ND,RAMSEY,58325
54081,,WV,RALEIGH,25989
28011,,MS,BOLIVAR,38772
18015,,IN,CARROLL,46923
18003,,IN,ALLEN,46815
19157,IA SE,IA,POWESHIEK,52232
20045,KS NC,KS,DOUGLAS,66006
30073,MT W,MT,PONDERA,59425
38037,,ND,GRANT,58569
12127,,FL,VOLUSIA,32180
20173,KS SC,KS,SEDGWICK,67203
42009,,PA,BEDFORD,16633
39155,,OH,TRUMBULL,44430
17011,IL W,IL,BUREAU,61320
17061,IL W,IL,GREENE,62044
42051,,PA,FAYETTE,15472
29215,MO SE,MO,TEXAS,65484
21059,,KY,DAVIESS,42303
8063,CO E,CO,KIT CARSON,80836
54039,,WV,KANAWHA,25302
6061,,CA,PLACER,95765
6007,,CA,BUTTE,95930
41041,OR W,OR,LINCOLN,97367
48305,TX NW,TX,LYNN,79373
37083,NC NE,NC,HALIFAX,27870
40033,OK NW,OK,COTTON,73562
29071,MO SE,MO,FRANKLIN,63015
31147,NE SE,NE,RICHARDSON,68355
27123,MN C,MN,RAMSEY,55104
23009,,ME,HANCOCK,04693
18017,,IN,CASS,46988
37071,NC W,NC,GASTON,28077
45065,SC NW,SC,MCCORMICK,29845
30101,MT N,MT,TOOLE,59482
13089,,GA,DEKALB,30072
6073,,CA,SAN DIEGO,92134
31137,NE SE,NE,PHELPS,68923
47157,,TN,SHELBY,38125
22127,,LA,WINN,71483
48347,TX NE,TX,NACOGDOCHES,75760
48133,TX C,TX,EASTLAND,76470
47033,,TN,CROCKETT,38337
42003,,PA,ALLEGHENY,15236
36025,,NY,DELAWARE,13774
6037,,CA,LOS ANGELES,90747
26125,,MI,OAKLAND,48323
13209,,GA,MONTGOMERY,30470
37119,NC W,NC,MECKLENBURG,28273
48143,TX C,TX,ERATH,76446
38039,,ND,GRIGGS,58416
5001,,AR,ARKANSAS,72026
48245,TX S,TX,JEFFERSON,77706
19013,IA NE,IA,BLACK HAWK,50707
18039,,IN,ELKHART,46543
42125,,PA,WASHINGTON,15321
39057,,OH,GREENE,45430
1091,,AL,MARENGO,36754
18033,,IN,DEKALB,46793
25027,,MA,WORCESTER,01612
5075,,AR,LAWRENCE,72572
51143,VA SE,VA,PITTSYLVANIA,24161
42029,,PA,CHESTER,19343
42107,,PA,SCHUYLKILL,17941
36041,,NY,HAMILTON,12190
1021,,AL,CHILTON,35046
51147,VA SE,VA,PRINCE EDWARD,23954
45091,SC NW,SC,YORK,29704
18085,,IN,KOSCIUSKO,46590
39099,,OH,MAHONING,44442
26043,,MI,DICKINSON,49801
48193,,TX,HAMILTON,76436
19003,IA SW,IA,ADAMS,50841
48503,TX C,TX,YOUNG,76450
35043,,NM,SANDOVAL,87043
51059,VA N,VA,FAIRFAX,22066
54039,,WV,KANAWHA,25039
18181,,IN,WHITE,47959
42089,,PA,MONROE,18342
36045,,NY,JEFFERSON,13659
35035,,NM,OTERO,88344
8121,CO E,CO,WASHINGTON,80812
24045,,MD,WICOMICO,21802
40121,OK SE,OK,PITTSBURG,74522
5103,,AR,OUACHITA,71751
13145,,GA,HARRIS,31822
22063,,LA,LIVINGSTON,70754
45065,SC NW,SC,MCCORMICK,29821
28025,,MS,CLAY,39756
35035,,NM,OTERO,88317
55095,WI N,WI,POLK,54858
41025,OR E,OR,HARNEY,97722
42125,,PA,WASHINGTON,15342
48455,TX NE,TX,TRINITY,75845
42029,,PA,CHESTER,19352
6097,,CA,SONOMA,95471
48189,TX NW,TX,HALE,79041
2122,,AK,KENAI PENINSULA,99664
33019,,NH,SULLIVAN,03773
4003,,AZ,COCHISE,85617
36051,,NY,LIVINGSTON,14481
49021,UT SW,UT,IRON,84772
17013,IL W,IL,CALHOUN,62053
22079,,LA,RAPIDES,71433
20083,KS SW,KS,HODGEMAN,67849
36013,,NY,CHAUTAUQUA,14722
36063,,NY,NIAGARA,14109
34013,,NJ,ESSEX,07107
18049,,IN,FULTON,46931
9011,,CT,NEW LONDON,06330
42101,,PA,PHILADELPHIA,19134
42105,,PA,POTTER,16720
12055,,FL,HIGHLANDS,33876
20183,KS NW,KS,SMITH,66952
22053,,LA,JEFFERSON DAVIS,70532
36095,,NY,SCHOHARIE,12187
41005,OR W,OR,CLACKAMAS,97045
11001,,DC,DISTRICT OF COLUMBIA,20015
13255,,GA,SPALDING,30223
17087,IL E,IL,JOHNSON,62923
35053,,NM,SOCORRO,87801
6077,,CA,SAN JOAQUIN,95240
25005,,MA,BRISTOL,02356
21087,,KY,GREEN,42764
54035,,WV,JACKSON,26164
16085,ID W,ID,VALLEY,83677
31169,NE SE,NE,THAYER,68362
19055,IA NE,IA,DELAWARE,52237
17031,IL E,IL,COOK,60631
35039,,NM,RIO ARRIBA,87554
32031,,NV,WASHOE,89442
27137,MN N,MN,ST. LOUIS,55771
51760,VA N,VA,RICHMOND,23224
42125,,PA,WASHINGTON,15378
40053,OK NW,OK,GRANT,73761
6107,,CA,TULARE,93647
1129,,AL,WASHINGTON,36529
5049,,AR,FULTON,72576
41047,OR W,OR,MARION,97350
29071,MO SE,MO,FRANKLIN,63037
33011,,NH,HILLSBOROUGH,03440
29021,MO NW,MO,BUCHANAN,64401
1089,,AL,MADISON,35805
34031,,NJ,PASSAIC,07424
36113,,NY,WARREN,12815
20131,KS N,KS,NEMAHA,66522
47063,,TN,HAMBLEN,37814
12105,,FL,POLK,33815
6023,,CA,HUMBOLDT,95564
4013,,AZ,MARICOPA,85390
50017,,VT,ORANGE,05076
35027,,NM,LINCOLN,88312
45051,SC E,SC,HORRY,29582
48337,TX NE,TX,MONTAGUE,76239
48371,TX S,TX,PECOS,79735
19165,IA SW,IA,SHELBY,51446
2050,,AK,BETHEL,99641
48029,TX C,TX,BEXAR,78264
36081,,NY,QUEENS,11413
36067,,NY,ONONDAGA,13159
54065,,WV,MORGAN,25411
24043,,MD,WASHINGTON,21782
51115,VA N,VA,MATHEWS,23045
35047,,NM,SAN MIGUEL,87560
1097,,AL,MOBILE,36693
,OK NW,OK,COMANCHE,73502
26125,,MI,OAKLAND,48393
13077,,GA,COWETA,30277
5035,,AR,CRITTENDEN,72331
8017,CO E,CO,CHEYENNE,80825
48035,TX NE,TX,BOSQUE,76689
47019,,TN,CARTER,37682
24005,,MD,BALTIMORE,21052
26081,,MI,KENT,49302
39077,,OH,HURON,44889
26081,,MI,KENT,49504
48431,TX C,TX,STERLING,76951
37055,NC SE,NC,DARE,27949
13297,,GA,WALTON,30641
44009,,RI,WASHINGTON,02891
36001,,NY,ALBANY,12147
45083,SC NW,SC,SPARTANBURG,29320
39153,,OH,SUMMIT,44067
39151,,OH,STARK,44702
55009,WI SE,WI,BROWN,54301
12099,,FL,PALM BEACH,33449
36027,,NY,DUTCHESS,12592
54051,,WV,MARSHALL,26039
29063,MO NW,MO,DEKALB,64430
32031,,NV,WASHOE,89510
21183,,KY,OHIO,42347
5131,,AR,SEBASTIAN,72916
19181,IA SW,IA,WARREN,50125
51185,VA N,VA,TAZEWELL,24602
39063,,OH,HANCOCK,44804
35061,,NM,VALENCIA,87068
6059,,CA,ORANGE,92688
13069,,GA,COFFEE,31554
29171,MO NW,MO,PUTNAM,63551
38083,,ND,SHERIDAN,58444
13089,,GA,DEKALB,30346
1003,,AL,BALDWIN,36578
25003,,MA,BERKSHIRE,01229
12057,,FL,HILLSBOROUGH,33626
6037,,CA,LOS ANGELES,90810
5077,,AR,LEE,72341
20091,KS NC,KS,JOHNSON,66217
17115,IL E,IL,MACON,62551
34027,,NJ,MORRIS,07801
5101,,AR,NEWTON,72670
6091,,CA,SIERRA,96118
21177,,KY,MUHLENBERG,42325
21085,,KY,GRAYSON,42754
24033,,MD,"PRINCE GEORGE'S",20747
56021,WY E,WY,LARAMIE,82053
13313,,GA,WHITFIELD,30710
25023,,MA,PLYMOUTH,02045
29075,MO NW,MO,GENTRY,64453
18153,,IN,SULLIVAN,47865
48029,TX C,TX,BEXAR,78101
8051,CO W,CO,GUNNISON,81225
36021,,NY,COLUMBIA,12184
51141,VA N,VA,PATRICK,24053
31159,NE SE,NE,SEWARD,68364
48253,TX C,TX,JONES,79533
39165,,OH,WARREN,45039
13175,,GA,LAURENS,31027
1013,,AL,BUTLER,36456
48217,,TX,HILL,76650
40107,OK NW,OK,OKFUSKEE,74880
53035,WA W,WA,KITSAP,98359
48211,TX NW,TX,HEMPHILL,79014
27029,MN N,MN,CLEARWATER,56644
12011,,FL,BROWARD,33323
6085,,CA,SANTA CLARA,95130
38059,,ND,MORTON,58638
48163,TX S,TX,FRIO,78005
22079,,LA,RAPIDES,71472
17141,IL W,IL,OGLE,61030
45043,SC E,SC,GEORGETOWN,29510
