ID_Company,RR,CompanyName
53,BAYL,"BAY LINE RAILROAD, LLC"
54,BB,BUCKINGHAM BRANCH RAILROAD CO.
55,BCLR,BAY COLONY RAILROAD CORP.
56,BCR,BAY COAST RAILROAD
57,BCRY,BARRIE-COLLINGWOOD RAILWAY
58,BDRV,BELVIDERE & DELAWARE RIVER RAILWAY
59,BDTL,BALLARD TERMINAL RAILROAD
60,BDW,"BIGHORN DIVIDE & WYOMING RAILROAD, INC."
61,BEEM,BEECH MOUNTAIN RAILROAD CO.
62,BGCM,BG & CM RAILROAD
63,BGS,BIG SKY RAIL CORP
64,BH,B&H RAIL CORP.
65,BHP,BHP NEVADA RAILROAD CO.
66,BHWY,BOOT HILL & WESTERN RAILWAY CO.
67,BIRR,BELLINGHAM INTERNNATIONAL RAILROAD
68,BJRR,BAJA CALIFORNIA RAILROAD INC.
69,BJRY,BURLINGTON JUNCTION RAILWAY
70,BKRR,"BATTEN KILL RAILROAD CO., INC."
71,BLA,BALTIMORE AND ANNAPOLIS RAILROAD
72,BLMR,BLUE MOUNTAIN RAILROAD
73,BLOL,BLOOMER SHIPPERS CONNECTING RAILROAD CO.
74,BLR,"BLACKLANDS RAILROAD, THE"
75,BML,BELFAST AND MOOSEHEAD LAKE RAILROAD CO.
76,BNG,BLACKWELL NORTHERN GATEWAY RAILROAD CO.
77,BNML,BURLINGTON NORTHERN (MANITOBA) LIMITED
78,BNSF,BNSF RAILWAY COMPANY
79,BOCT,BALTIMORE AND OHIO TERMINAL RAILROAD CO.
80,BOP,BORDER PACIFIC RAILROAD CO.
81,BPRR,"BUFFALO & PITTSBURGH RAILROAD, INC."
82,BRAN,BRANDON CORP.
83,BRC,"BELT RAILWAY CO. OF CHICAGO, THE"
84,BRG,BROWNSVILLE AND RIO GRANDE INTERNATIONAL RAILROAD
85,BRS,BATON ROUGE SOUTHERN RAILROAD
86,BRW,BLACK RIVER & WESTERN RAILROAD
88,BSDA,BI-STATE DEVELOPMENT AGENCY
89,BSOR,"BUFFALO SOUTHERN RAILROAD, INC."
90,BSVY,BOONE SCENIC VALLEY RAILROAD
91,BVRR,BOISE VALLEY RAILROAD
92,BVRY,BRANDYWINE VALLEY RAILROAD CO.
93,BXN,BAUXITE & NORTHERN RAILWAY CO.
94,CA,"CHESAPEAKE & ALBEMARLE RAILROAD CO., INC."
95,CAEG,COFFEEN AND WESTERN RAILROAD
96,CAGY,COLUMBUS AND GREENVILLE RAILWAY CO.
97,CALA,CAROLINA SOUTHERN RAILROAD CO.
98,CART,CARTIER RAILWAY COMPANY
99,CBNS,CAPE BRETON AND CENTRAL NOVA SCOTIA RAILWAY
100,CBR,"COOS BAY RAILROAD OPERATING CO., LLC"
101,CBRW,"COLUMBIA BASIN RAILROAD CO., INC."
102,CBRY,"COPPER BASIN RAILWAY, INC."
103,CCKY,CHATTOOGA & CHICKAMAUGA RAILWAY CO.
104,CCPN,CORPUS CHRISTI TERMINAL RAILROAD
105,CCRA,CAMP CHASE INDUSTRIAL RAILROAD CORP
106,CCRL,CLEVELAND COMMERCIAL RAILROAD
107,CCRR,CLAREMONT CONCORD RAILROAD CORP.
108,CCT,CENTRAL CALIFORNIA TRACTION CO.
109,CCUO,CHICAGO - CHEMUNG RAILROAD CORP.
110,CEIW,CENTRAL INDIANA & WESTERN RAILROAD CO.
111,CEMR,CENTRAL MANITOBA RAILWAY
112,CERA,CENTRAL RAILROAD CO. OF INDIANAPOLIS
113,CF,"CAPE FEAR RAILWAYS, INC."
114,CFE,"CHICAGO, FT. WAYNE & EASTERN"
115,CFL,"C F LANAUDIERE, INC"
116,CFNR,CALIFORNIA NORTHERN RAILROAD CO.
117,CFWR,"CANEY FORK AND WESTERN R.R., INC."
118,CGR,"CG RAILWAY, INC."
119,CHAT,"CHATTAHOOCHEE BAY RAILROAD, INC."
120,CHR,CHESTNUT RIDGE RAILROAD CORP.
121,CHRC,"CHAPARRAL RAILROAD COMPANY, INC."
122,CHRR,CHESAPEAKE RAILROAD CO.
123,CHS,CHARLOTTE SOUTHERN RAILROAD
124,CI,CAMBRIA AND INDIANA RAILROAD CO.
125,CIC,CEDAR RAPIDS AND IOWA CITY RAILWAY CO.
126,CIND,CENTRAL RAILROAD CO. OF INDIANA
127,CIR,CITY OF ROCHELLE ILLINOIS
128,CIRR,CHATTAHOOCHEE INDUSTRIAL RAILROAD
129,CIRY,CENTRAL ILLINOIS RAILROAD CO.
130,CKIN,"CHESAPEAKE AND INDIANA RAILROAD COMPANY, INC."
131,CLC,COLUMBIA AND COWLITZ RAILWAY CO.
132,CLNA,"CAROLINA COASTAL RAILWAY, INC."
133,CLP,"CLARENDON AND PITTSFORD RAILROAD CO., THE"
134,CLSL,COLUMBIA AND SILVER CREEK RAILROAD
135,CM,"CENTRAL MONTANA RAIL, INC."
136,CMPA,MADISON RAILROAD
137,CMR,CENTRAL MIDLAND RAILWAY
138,CMSL,CAPE MAY SEASHORE LINES
139,CN,CANADIAN NATIONAL RAILWAYS
140,CNAT,CN AQUATRAIN
141,CNOW,COLUMBIA & NORTHERN RAILWAY CO.
142,CNUR,C & NC RAILROAD CORP.
143,CNYK,CENTRAL NEW YORK RAILROAD CORP.
144,CNZR,"CENTRAL NEW ENGLAND RAILROAD CO., INC., THE"
145,COEH,CONECUH VALLEY RAILROAD
146,COER,CRAB ORCHARD & EGYPTIAN RAILROAD
147,COP,CITY OF PRINEVILLE RAILWAY
148,CORP,CENTRAL OREGON & PACIFIC RAILROAD
149,CORY,COLUMBIA & READING RAILWAY
150,CPDR,CAROLINA PIEDMONT DIVISION
151,CPMY,COOPERSVILLE AND MARNE RAILWAY COMPANY
152,CPRS,CANADIAN PACIFIC RAILWAY
153,CR,CONRAIL
154,CRL,"CHICAGO RAIL LINK, LLC"
155,CSCD,CASCADE AND COLUMBIA RIVER RAILROAD CO.
156,CSKR,C & S RAILROAD CORP.
157,CSO,"CONNECTICUT SOUTHERN RAILROAD, INC."
158,CSR,"CAMDEN & SOUTHERN RAILROAD, INC."
159,CSS,CHICAGO SOUTHSHORE AND SOUTH BEND RAILROAD
160,CSXT,"CSX TRANSPORTATION, INC."
161,CT,COLUMBIA TERMINAL
162,CTM,CHICAGO TERMINAL RAILROAD
163,CTN,CANTON RAILROAD CO.
164,CTR,CLINTON TERMINAL RAILROAD CO.
165,CTRR,"CLOQUET TERMINAL RAILROAD CO., INC."
166,CTRW,CARLTON TRAIL RAILWAY
167,CUOH,"COLUMBUS & OHIO RIVER RAILROAD CO., THE"
168,CVR,CIMARRON VALLEY RAILROAD LC
169,CVRC,CANNON VALLEY RAILROAD COMPANY
170,CVYR,CADDO VALLEY RAILROAD CO.
171,CW,COLORADO & WYOMING RAILWAY CO.
172,CWA,CENTRAL WASHINGTON RAILROAD CO.
173,CWCY,CALDWELL COUNTY RAILROAD CO.
174,CWR,CALIFORNIA WESTERN RAILROAD
175,CWRO,CLEVELAND WORKS RAILWAY CO.
176,CWRY,"COMMONWEALTH RAILWAY, INC."
177,CZRY,"CARRIZO GORGE RAILWAY, INC."
178,DAIR,D & I RAILROAD CO.
179,DAKS,DAKOTA SHORT LINE
180,DALT,JOHN’S TRAINS INC.
181,DC,DELRAY CONNECTING RAILROAD CO.
182,DCLR,DELAWARE COAST LINE RAILROAD
183,DCON,DETROIT CONNECTING RAILROAD
184,DCRR,DUBOIS COUNTY RAILROAD
185,DGNO,"DALLAS, GARLAND & NORTHEASTERN"
186,DGVR,"DURBIN & GREENBRIER VALLEY RAILROAD, INC"
187,DL,"DELAWARE-LACKAWANNA R.R. CO., INC."
188,DLWR,"DEPEW LANCASTER & WESTERN RAILROAD CO., INC."
189,DME,"DAKOTA, MINNESOTA AND EASTERN RAILROAD"
190,DMVW,"DAKOTA, MISSOURI VALLEY & WESTERN RAILROAD, INC."
191,DN,"DAKOTA NORTHERN RAILROAD, INC."
192,DQE,DEQUEEN & EASTERN RAILROAD CO.
193,DR,DARDANELLE & RUSSELLVILLE RAILROAD CO.
194,DRGR,DENVER & RIO GRANDE RAILROAD COMPANY
195,DRIR,DENVER ROCK ISLAND RAILROAD
196,DSC,"DRAKE SWITCHING COMPANY, LLC"
197,DSRC,DAKOTA SOUTHERN RAILWAY CO.
198,DSRR,DELTA SOUTHERN RAILROAD CO.
199,DT,DECATUR JUNCTION RAILWAY CO.
200,DV,DELAWARE VALLEY RAILWAY CO.
201,DVR,DEVCO RAILWAY
202,DVS,DELTA VALLEY & SOUTHERN RAILWAY CO.
203,EACH,EAST CAMDEN & HIGHLAND RAILROAD CO.
204,EARY,EASTERN ALABAMA RAILWAY
205,EBG,EASTERN BERKS GATEWAY RAILROAD
206,EBSR,"EAST BROOKFIELD & SPENCER R.R., LLC"
207,ECBR,EAST COOPER AND BERKELEY RAILROAD CO.
208,ECO,ECORAIL INC.
209,ECTB,EAST CHATTANOOGA BELT RAILWAY CO.
210,EDW,EL DORADO AND WESSON RAILWAY CO.
211,EE,ELLIS & EASTERN CO.
212,EEC,EAST ERIE COMMERCIAL RAILROAD
213,EFRR,EFFINGHAM RAILROAD CO.
214,EIRC,EASTERN ILLINOIS RAILROAD CO.
215,EIRR,EASTERN IDAHO RAILROAD
216,EJR,EAST JERSEY RAILROAD AND TERMINAL CO.
217,ELKR,"ELK RIVER RAILROAD, INC., THE"
218,ELS,ESCANABA & LAKE SUPERIOR RAILROAD CO.
219,EMHR,EAST MAHANOY & HAZELTON RAILROAD CO.
220,ENR,E & N RAILWAY CO. (1998) LTD.
221,ESPN,"EAST PENN RAILROAD, LLC"
222,ETC,EAST TEXAS CENTRAL RAILROAD
223,ETL,"ESSEX TERMINAL RAILWAY CO., THE"
224,ETRY,"EAST TENNESSEE RAILWAY, LP"
225,EV,"EVERETT RAILROAD CO., THE"
226,EVWR,"EVANSVILLE WESTERN RAILWAY, INC."
227,EWG,EASTERN WASHINGTON GATEWAY
228,EWR,ELKHART & WESTERN RAILROAD CO.
229,FC,"FULTON COUNTY RAILROAD, INC."
230,FCCM,"COMPANIA DE FERROCARRILES CHIAPAS MAYAB, S.A. DE C.V."
231,FCEN,FLORIDA CENTRAL RAILROAD
233,FCRD,"FIRST COAST RAILROAD, INC."
234,FEC,"FLORIDA EAST COAST RAILWAY, LLC"
235,FGLK,FINGER LAKES RAILWAY CORP.
236,FIR,FLATS INDUSTRIAL RAILROAD
237,FMID,FLORIDA MIDLAND RAILROAD
238,FMRC,FARMRAIL CORP.
239,FNG,FNG LOGISTICS
240,FNOR,FLORIDA NORTHERN RAILROAD
241,FNW,FREEMONT NORTHWESTERN RAILROAD
242,FP,FORDYCE & PRINCETON RAILROAD CO.
243,FRR,"FALLS ROAD RAILROAD CO., INC."
244,FRVT,FORE RIVER TRANSPORTATION CORP.
245,FSR,FORT SMITH RAILROAD CO.
246,FSRR,"FERROSUR, S.A. DE C.V."
247,FWCR,FLORIDA WEST COAST R.R. CO.
248,FWDB,FORT WORTH & DALLAS BELT RAILROAD
249,FWRY,FILLMORE WESTERN RAILWAY CO.
250,FWWR,FORT WORTH & WESTERN RAILROAD
251,FXE,"FERROCARRIL MEXICANO, S.A. DE C.V."
252,GC,"GEORGIA CENTRAL RAILWAY, LP"
253,GCK,GEORGES CREEK RAILWAY
254,GCSR,"GULF, COLORADO & SAN SABA RAILWAY"
255,GCW,"GARDEN CITY WESTERN RAILWAY, INC., THE"
256,GDLK,GRAND ELK RAILROAD
257,GET,GETTYSBURG & NORTHERN RAILROAD CO.
258,GEXR,"GODERICH-EXETER RAILWAY CO., LTD."
259,GFR,GRAND FORKS RAILWAY CO.
260,,"GEORGIA & FLORIDA RAILNET, INC."
261,GITM,GOLDEN ISLES TERMINAL RAILROAD
262,GLC,GREAT LAKES CENTRAL RAILROAD
263,GLSR,"GLOSTER SOUTHERN RAILROAD CO., THE"
264,GMR,"GEORGIA MIDLAND RAILROAD, INC."
265,GMRY,GRANITE MOUNTAIN RAILWAY
266,GNBC,GRAINBELT CORP.
267,GNPR,GNP RLY INC.
268,GNRR,GEORGIA NORTHEASTERN RAILROAD
269,GR,"GRAND RAPIDS EASTERN RAILROAD, INC."
270,GRD,"GARDENDALE RAILROAD, INC."
271,GRLW,"GREENVILLE & WESTERN RAILWAY COMPANY, LLC"
272,GRNW,GREAT NORTHWEST RAILROAD
273,GRR,GEORGETOWN RAILROAD CO.
274,GRW,"GARY RAILWAY, LLC"
275,GRWR,"GREAT WALTON RAILROAD CO., INC., THE"
276,,GRENADA RAILWAY LLC
277,GS,GEORGIA SOUTHERN RAILWAY CO.
278,GSM,GREAT SMOKEY MOUNTAIN RAILWAY INC.
279,GSR,"GREAT SANDHILLS RAILWAY, LTD"
280,GSWR,GEORGIA SOUTHWESTERN RAILROAD CO.
281,GTR,GREAT RIVER RAILROAD
282,GTRA,GOLDEN TRIANGLE RAILROAD
283,GU,GRAFTON & UPTON RAILROAD CO.
284,GVSR,"GALVESTON RAILROAD, LP"
285,GWI,GENESEE & WYOMING INC.
286,GWR,"GREAT WESTERN RAILWAY OF COLORADO, LLC"
287,GWRC,"GEORGIA WOODLANDS RAILROAD, LLC"
289,GWWD,GREATER WINNIPEG WATER DISTRICT
290,GWWE,GATEWAY EASTERN RAILWAY CO.
291,HB,"HAMPTON & BRANCHVILLE RAILROAD CO., INC."
292,HBRY,HUDSON BAY RAILWAY
293,HCRR,HONEY CREEK RAILROAD
294,HCRY,HURON CENTRAL RAILWAY INC.
295,HE,HOLLIS & EASTERN RAILROAD CO.
296,HESR,"HURON AND EASTERN RAILWAY CO., INC."
297,HIRR,"HAINESPORT INDUSTRIAL RAILROAD, LLC"
298,HLSC,"HAMPTON RAILWAY, INC."
299,HMCR,"HUNTSVILLE AND MADISON COUNTY RAILROAD AUTHORITY, THE"
300,HN,"HUTCHINSON AND NORTHERN RAILWAY CO., THE"
301,HOB,HENDERSON OVERTON BRANCH
302,HOG,"HEART OF GEORGIA RAILROAD, INC."
303,HOS,HOOSIER SOUTHERN RAILROAD
304,HPTD,"HIGH POINT, THOMASVILLE & DENTON RAILROAD CO."
305,HR,HERITAGE RAILROAD CORP.
306,HRR,"HONDO RAILWAY, LLC"
307,HRRC,"HOUSATONIC RAILROAD CO., INC."
308,HRS,HOLLIDAYSBURG AND ROARING SPRING RAILROAD
309,HRT,HARTWELL RAILROAD CO.
310,HSRR,"HARDIN SOUTHERN RAILROAD, INC."
311,IAIS,IOWA INTERSTATE RAILROAD SYSTEM
312,IANR,IOWA NORTHERN RAILWAY
313,IARR,IOWA RIVER RAILROAD
314,IATR,IOWA TRACTION RAILWAY
315,IBR,IRON BULL RAILROAD
316,IBT,"INTERNATIONAL BRIDGE & TERMINAL CO., THE"
317,ICRK,INDIAN CREEK RAILROAD CO.
318,IERR,"INDIANA EASTERN RAILROAD, LLC"
319,IHB,INDIANA HARBOR BELT RAILROAD CO.
320,ILW,ILLINOIS WESTERN RAILROAD CO.
321,IMRR,"ILLINOIS & MIDLAND RAILROAD, INC."
322,IN,INDIANA NORTHEASTERN RAILROAD CO.
323,INPR,IDAHO NORTHERN & PACIFIC RAILROAD CO.
324,INRD,"INDIANA RAIL ROAD CO., THE"
325,IORY,INDIANA & OHIO RAIL SYSTEM
326,,"ILLINOIS RAILWAY,  INC."
327,IRRS,"INTERNATIONAL RAIL ROAD SYSTEMS, INC."
328,ISR,IOWA SOUTHERN RAILWAY
329,ISRC,IDAHO & SEDALIA TRANSPORTATION CO.
330,ISRR,"INDIANA SOUTHERN RAILROAD, INC."
331,ISW,INDIANA SOUTHWESTERN RAILWAY CO.
332,JAIL,JACKSON & LANSING RAILROAD COMPANY
333,JE,JOPPA & EASTERN
334,JEFW,JEFFERSON WARRIOR RAILROAD CO.
335,JKL,J K LINE INC.
336,JVRR,JUNIATA VALLEY RAILROAD
337,KAW,KAW RIVER RAILROAD
338,KBSR,"KANKAKEE, BEAVERVILLE AND SOUTHERN RAILROAD CO."
339,KCS,KANSAS CITY SOUTHERN RAILWAY CO.
340,KCSM,KANSAS CITY SOUTHERN DE MEXICO
341,KCTL,KANSAS CITY TRANSPORTATION CO.
342,KE,KANSAS EASTERN RAILROAD INC.
343,KFR,"KETTLE FALLS INTERNATIONAL RAILWAY, LLC"
344,KJR,"KISKI JUNCTION RAILROAD, INC."
345,KJRY,KEOKUK JUNCTION RAILWAY CO.
346,KNOR,KLAMATH NORTHERN RAILWAY CO.
347,KO,KANSAS AND OKLAHOMA RAILROAD
348,KPR,"KELOWNA PACIFIC RAILWAY, LTD."
349,KRL,KASGRO RAIL LINES
350,KRR,KIAMICHI RAILROAD CO.
351,KSRY,KOSCIUSKO & SOUTHWESTERN RAILWAY
352,KT,KENTUCKY AND TENNESSEE RAILWAY CO.
353,KTR,KENDALLVILLE TERMINAL RAILWAY CO.
354,KWT,KENTUCKY AND WEST TENNESSEE RAILWAY
355,KXHR,"KNOXVILLE & HOLSTON RIVER RAILROAD CO., INC."
356,KYLE,KYLE RAILROAD CO.
357,LAJ,LOS ANGELES JUNCTION RAILWAY CO.
358,LAL,"LIVONIA, AVON & LAKEVILLE RAILROAD CORP."
359,LAS,LOUISIANA SOUTHERN RAILROAD
360,LBR,LOWVILLE & BEAVER RIVER RAILROAD CO.
361,LC,"LANCASTER & CHESTER RAILROAD, LLC"
362,LCR,LAKE COUNTY RAILROAD
363,LDRR,"LOUISIANA AND DELTA RAILROAD, INC."
364,LER,"LOGANSPORT & EEL RIVER SHORTLINE CO., INC., THE"
365,LFCD,"LINEA COAHUILA DURANGO, S.A. DE C.V."
366,LI,LONG ISLAND RAILROAD
367,LINC,LEWIS & CLARK RAILWAY CO.
368,LIRC,LOUISVILLE & INDIANA RAILROAD CO.
369,LIRR,LAPEER INDUSTRIAL RAILROAD
370,LKRR,"LITTLE KANAWHA RIVER RAIL, INC."
371,LMIC,LAKE MICHIGAN & INDIANA RAILROAD
372,LMR,LAST MOUNTAIN RAILWAY
373,LNAL,"LOUISVILLE, NEW ALBANY & CORYDON RAILROAD"
374,LNVT,LANDISVILLE TERMINAL & TRANSFER COMPANY
375,LNW,LOUISIANA AND NORTH WEST RAILROAD
376,LRPA,LITTLE ROCK PORT RAILROAD
377,LRS,LAURINBURG AND SOUTHERN RAILROAD CO.
378,LRWN,"LITTLE ROCK & WESTERN RAILROAD, LP"
379,LRWY,"LEHIGH RAILWAY, LLC"
380,LRY,"LRY, LLC"
381,LS,LUZERNE & SUSQUEHANNA RAILWAY CO.
382,LSI,LAKE SUPERIOR & ISHPEMING RAILROAD CO.
383,LSRC,LAKE STATE RAILWAY CO.
384,LT,"LAKE TERMINAL RAILROAD CO., THE"
385,LVR,LANDISVILLE RAILROAD
386,LVRB,"LEHIGH VALLEY RAIL MGMT., LLC - BETHLEHEM DIV."
387,LVRC,LAMOILLE VALLEY RAILROAD CO.
388,LVRJ,"LEHIGH VALLEY RAIL MGMT., LLC - JOHNSTOWN DIV."
389,LVRR,LYCOMING VALLEY RAILROAD CO.
390,LW,LOUISVILLE AND WADLEY RAILWAY CO.
391,LXVR,"LUXAPALILA VALLEY RAILROAD, INC."
392,MAA,MAGMA ARIZONA RAILROAD CO.
393,MAL,MICHIGAN AIR-LINE RAILWAY CO.
394,MAW,MAUMEE & WESTERN RAILROAD CORP.
395,MC,"MASSACHUSETTS COASTAL RAILROAD, LLC"
396,MCER,MASSACHUSETTS CENTRAL RAILROAD CORP.
397,MCLR,MCLAUGHLIN LINE RAILROAD
398,MCR,MCCLOUD RAILWAY CO.
399,MCSA,"MOSCOW, CAMDEN & SAN AUGUSTINE RAILROAD"
401,MDDE,MARYLAND AND DELAWARE R.R. CO.
402,MDS,"MERIDIAN SOUTHERN RAILWAY, LLC"
403,MDW,"MINNESOTA, DAKOTA & WESTERN RAILWAY CO."
404,ME,"MORRISTOWN & ERIE RAILWAY, INC."
405,MERR,MAINE EASTERN RAILROAD
406,MET,MODESTO & EMPIRE TRACTION CO.
407,METW,MUNICIPALITY OF EAST TROY WISCONSIN
408,MGRI,"MG RAIL, INC."
409,MH,MT. HOOD RAILROAD CO.
410,MHC,"MOHALL CENTRAL RAILROAD, INC."
411,MHSF,"MOREHEAD & SOUTH FORK RAILROAD CO., INC."
412,MHWA,"MOHAWK, ADIRONDACK & NORTHERN R.R. CORP."
413,MIDH,MIDDLETOWN & HUMMELSTOWN RAILROAD CO.
415,MKC,MCKEESPORT CONNECTING RAILROAD CO.
416,MMA,"MONTREAL, MAINE AND ATLANTIC RAILWAY, LTD."
417,MMID,"MARYLAND MIDLAND RAILWAY, INC."
418,MMRR,MID-MICHIGAN RAILROAD CO.
419,MMT,MISSION MOUNTAIN RAILROAD
420,MNA,MISSOURI & NORTHERN ARKANSAS RAILROAD CO.
421,MNBR,MERIDIAN & BIGBEE RAILROAD
422,MNC,MISSOURI NORTH CENTRAL RAILROAD
423,MNJ,"MIDDLETOWN AND NEW JERSEY RAILWAY CO., INC."
424,MNN,"MINNESOTA NORTHERN RAILROAD, INC."
425,MNNR,MINNESOTA COMMERCIAL RAILWAY CO.
426,MNR,MAINE NORTHERN RAILWAY COMPANY
427,MNRR,MODOC NORTHERN RAILROAD CO.
428,MPLI,"MINNESOTA PRAIRIE LINE, INC."
429,MQT,"MARQUETTE RAIL, LLC"
430,MRI,"MOHALL RAILROAD, INC."
431,MRL,MONTANA RAIL LINK
432,MRS,MANUFACTURERS RAILWAY CO.
433,MS,"MICHIGAN SHORE RAILROAD, INC."
434,MSCI,MISSISSIPPI CENTRAL RAILROAD CO.
435,MSDR,MISSISSIPPI DELTA RAILROAD
436,MSE,MISSISSIPPI EXPORT RAILROAD CO.
437,MSL,MONTGOMERY SHORT LINE LLC
438,MSN,MEEKER SOUTHERN RAILROAD
439,MSO,MICHIGAN SOUTHERN RAILROAD CO.
440,MSR,MISSISSIPPI SOUTHERN RAILROAD
441,MSRW,"MISSISSIPPIAN RAILWAY COOPERATIVE, INC."
442,MSTR,"MASSENA TERMINAL RAILROAD CO., THE"
443,MSV,MISSISSIPPI & SKUNA VALLEY RAILROAD CO.
444,MSWY,"MINNESOTA SOUTHERN RAILWAY, INC."
445,MTNR,"MISSISSIPPI TENNESSEE RAILROAD, LLC"
446,MULTI,MULTIPLE CARRIERS
447,MVRY,"MAHONING VALLEY RAILWAY CO., THE"
448,MVT,"MOUNT VERNON TERMINAL RY., LLC"
449,NAUG,NAUGATUCK RAILROAD CO.
450,NBER,NITTANY & BALD EAGLE RAILROAD CO.
451,NBSR,"NEW BRUNSWICK SOUTHERN RAILWAY CO., LTD"
452,NCIR,NEW CASTLE INDUSTRIAL RAILROAD
453,NCPR,NORTH CAROLINA PORTS RAILWAY COMMISSION
454,NCRC,NEBRASKA CENTRAL RAILROAD CO.
455,NCRL,"NC RAILROAD, INC."
456,NCVA,"NORTH CAROLINA & VIRGINIA RAILROAD CO., INC."
457,NCYR,NASH COUNTY RAILROAD
458,NDCR,N.D.C. RAILROAD CO.
459,NECR,"NEW ENGLAND CENTRAL RAILROAD CO., INC."
460,NEGS,NEW ENGLAND SOUTHERN RAILROAD CO.
461,NENE,NEBRASKA NORTHEASTERN RAILWAY CO.
462,NERR,NASHVILLE AND EASTERN RAILROAD CORP.
463,NHCR,"NEW HAMPSHIRE CENTRAL RAILROAD, INC."
464,NHN,NEW HAMPSHIRE NORTHCOAST CORP.
465,NHRR,NEW HOPE & IVYLAND RAIL ROAD
466,NHVT,"NEW HAMPSHIRE AND VERMONT RAILROAD CO., THE"
467,NJRC,"NEW JERSEY RAIL CARRIER, LLC"
468,NKCR,"NEBRASKA, KANSAS & COLORADO RAILWAY, INC."
469,NLA,NORTH LOUISIANA & ARKANSAS RAILROAD
470,NLR,"NORTHERN LINES RAILWAY, LLC"
471,NMGR,"NEW MEXICO GATEWAY RAILROAD, LLC"
472,NNW,NEBRASKA NORTHWESTERN RAILROAD
473,NOGC,"NEW ORLEANS & GULF COAST RAILWAY CO., INC."
474,NOKL,NORTHWESTERN OKLAHOMA R. R. CO.
475,NOPB,NEW ORLEANS PUBLIC BELT RAILROAD
476,NOW,"NORTHERN OHIO & WESTERN RAILWAY, LLC"
477,NPB,NORFOLK AND PORTSMOUTH BELT LINE RAILROAD CO.
478,NPR,"NORTHERN PLAINS RAILROAD, INC."
479,NRI,"NEBKOTA RAILWAY, INC."
480,NS,NORFOLK SOUTHERN RAILROAD
481,NSHR,NORTH SHORE RAILROAD CO.
482,NSR,NEWBURGH & SOUTH SHORE RAILROAD
483,NTRY,"NIMISHILLEN & TUSCARAWAS RAILWAY, LLC"
484,NTZR,NATCHEZ RAILWAY LLC
485,NVRR,NAPA VALLEY RAILROAD
486,NWP,NORTHWESTERN PACIFIC RAILROAD COMPANY
487,NWR,NASHVILLE & WESTERN RAILROAD CORP.
488,NYA,NEW YORK & ATLANTIC RAILWAY CO.
489,NYER,NEW YORK AND EASTERN RAILWAY
490,NYGL,NEW YORK & GREENWOOD LAKE RAILWAY
491,NYLE,NEW YORK & LAKE ERIE RAILROAD
