address,country,latitude,longitude,locationName,locationOwner,locationOwnerId,inboundMode,outboundMode,servicingCarriers,splc,zipCode,cityState
11019 COUNTY HWY 12,US,38.380307,-89.648852,GATEWAY FS-ADDIEVILLE,GATEWAY FS INC,0017000000yIQAs,TRUCK,TRUCK,,,62214,"ADDIEVILLE, IL"
75 W Front St,US,38.3918,-89.487,TOP AG-ADDIEVILLE,TOP AG COOPERATIVE INC,0017000000yIRYu,TRUCK,TRUCK,"","",62214,"ADDIEVILLE, IL"
607 MILL ST,US,43.620559,-87.953857,ADELL COOP-ADELL,ADELL COOP UNION,001700000130v7N,RAIL|TRUCK,RAIL|TRUCK,WSOR,332178000,53001,"ADELL, WI"
205 COUNTY RD 35 E,US,43.6374,-95.9344,NUTRIEN AG-ADRIAN,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",56110,"ADRIAN, MN"
S 71TH HWY,US,38.391,-94.3413,MFA INCORPORATED-ADRIAN,MFA INCORPORATED,0017000000yIUvC,RAIL|TRUCK,RAIL|TRUCK,UP,573333000,64720,"ADRIAN, MO"
656 TARRTOWN RD,US,40.857374,-79.503197,GROWMARK INC-ADRIAN,GROWMARK INC,0017000000yIUyR,RAIL,RAIL,BPRR,215760000,16210,"ADRIAN, PA"
196 E RAILRD ST,US,41.029576,-94.196735,NEW COOPERATIVE-AFTON,NEW COOPERATIVE INC,0017000000yIUtv,TRUCK,TRUCK,"","",50830,"AFTON, IA"
11 MILL ST,US,42.2315,-75.5331,MCDOWELL WALKER-AFTON,MCDOWELL WALKER INC,,RAIL,RAIL,NS,186161000,13730,"AFTON, NY"
6850 CHIEF WAPELLO RD,US,40.992343,-92.294562,NUTRIEN AG-AGENCY,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL|TRUCK,RAIL|TRUCK,BNSF,538474000,52530,"AGENCY, IA"
1815 PARK AVE SE,US,33.550246,-81.696708,CAROLINA EASTERN-AIKEN,CAROLINA EASTERN INC,0017000000yIW4K,RAIL,RAIL,AIKR|NS,446860000,29801,"AIKEN, SC"
2952 HWY 92,US,41.291091,-91.571541,VISION AG-AINSWORTH,VISION AG LLC,0017000000yIT3A,TRUCK,TRUCK,"","",52201,"AINSWORTH, IA"
2725 180TH ST,US,41.394782,-91.615219,WITTHOFT FARM-AINSWORTH,WITTHOFT FARM SUPPLY,,TRUCK,TRUCK,,,52201,"AINSWORTH, IA"
87794 429TH AVE,US,42.54899,-99.891227,MADISONS GREAT-AINSWORTH,MADISONS GREAT WESTERN,0010g00001bqeQ3,TRUCK,TRUCK,"","",69210,"AINSWORTH, NE"
,US,42.5493,-99.8577,CENTRAL VALLEY-AINSWORTH,CENTRAL VALLEY AG COOPERATIVE NONSTOCK,0017000000yIV16,TRUCK,TRUCK,"","",69210,"AINSWORTH, NE"
110 RIVER RD,US,42.828611,-96.56109,CENTRAL VALLEY-AKRON,CENTRAL VALLEY AG COOPERATIVE NONSTOCK,0017000000yIV16,RAIL|TRUCK,RAIL|TRUCK,UP,547263000,51001,"AKRON, IA"
WE BRITTAIN LEASE TRACKS,US,41.0697193,-81.5010634,PORTS PETROLEUM-AKRON,PORTS PETROLEUM COMPANY INC,,RAIL,RAIL,WE,344715000,44301,"AKRON, OH"
"",US,37.46657,-105.86471,ALAMOSA CO- RR STATION,"","",RAIL,RAIL,UP,757480000,81101,"ALAMOSA, CO"
1109 S BIRCH ST,US,40.238112,-94.346361,UNIVERSITY OF-ALBANY,UNIVERSITY OF MISSOURI HUNDLEYWHALEY,,TRUCK,TRUCK,,,64402,"ALBANY, MO"
5275 US HWY 136,US,40.2414,-94.3908,AGRILAND FS-ALBANY,AGRILAND FS INC,0017000000yIV32,TRUCK,TRUCK,"","",64402,"ALBANY, MO"
408 S BIRCH ST,US,40.245117,-94.340881,PRAIRIELAND FS-ALBANY,PRAIRIELAND FS INC,00170000019sYr1,TRUCK,TRUCK,,,64402,"ALBANY, MO"
"",US,42.64877,-73.74859,ALBANY NY- RR STATION,"","",RAIL,RAIL,CPRS|CSXT,173360000,12207,"ALBANY, NY"
2190 OLD SALEM RD NE,US,44.6381,-123.1106,BAKELITE CHEMICALS (ALBANY),BAKELITE CHEMICALS LLC,0014u00001wIsM6,RAIL|TRUCK,RAIL|TRUCK,UP,854542000,97321,"ALBANY, OR"
34133 GOLTRA RD SE,US,44.6225,-123.0741,NUTRIEN AG (ALBANY),NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL|TRUCK,RAIL|TRUCK,AERC|BNSF|PNWR|UP,854550000,97322,"ALBANY, OR"
30 MAIN ST,US,42.781291,-94.947309,AGSTATE -ALBERT CITY,AGSTATE,0014u00001yQCNb,RAIL|TRUCK,RAIL|TRUCK,UP,544244000,50510,"ALBERT CITY, IA"
21463 700TH AVE,US,43.664931,-93.468618,HIYIELD PRODUCTS-ALBERT LEA,HIYIELD PRODUCTS INC,0017000000yIUxg,TRUCK,TRUCK,"","",56007,"ALBERT LEA, MN"
313 MAIN ST,US,45.573301,-96.047828,NUTRIEN AG-ALBERTA,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL|TRUCK,RAIL|TRUCK,BNSF,506670000,56207,"ALBERTA, MN"
11229 60TH ST NE,US,45.239606,-93.661331,FEDERATED COOPS-ALBERTVILLE,FEDERATED COOPS INC,0017000000yIUyt,TRUCK,TRUCK,,,55301,"ALBERTVILLE, MN"
805 HWY 5 N,US,41.0363,-92.8172,SMITH FERTILIZER-ALBIA,SMITH FERTILIZER,0010g00001eOKKt,TRUCK,TRUCK,"","",52531,"ALBIA, IA"
6281 160TH ST,US,41.074648,-92.85072,AGRILAND FS-ALBIA,AGRILAND FS INC,0017000000yIV32,TRUCK,TRUCK,,,52531,"ALBIA, IA"
1605 MEYER AVE,US,42.121297,-92.996758,GROWMARK INC-ALBION,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",50005,"ALBION, IA"
2504 OLD MILL RD,US,41.698666,-98.011528,COUNTRY PARTNERS-ALBION,COUNTRY PARTNERS COOPERATIVE,0017000000yIUaR,RAIL|TRUCK,RAIL|TRUCK,NCRC|UP,554240000,68620,"ALBION, NE"
2556 210TH ST,US,41.759959,-97.992135,HELENA AGRIENTERPRISES-ALBION,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,TRUCK,TRUCK,"","",68620,"ALBION, NE"
3854 TAYLOR HILL RD,US,43.22801,-78.309232,GROWMARK FS-ALBION,GROWMARK FS LLC,0017000000yIUfQ,RAIL,RAIL,CSXT|FRR,184152000,14411,"ALBION, NY"
1615 8TH ST NW,US,35.101334,-106.656141,MUSKET CORPORATION-ALBUQUERQUE,MUSKET CORPORATION,0017000001GQTUq,RAIL,RAIL,BNSF,774900000,87102,"ALBUQUERQUE, NM"
5101 WILLIAMS ST SE,US,35.006796,-106.659478,NEW MEXICO-ALBUQUERQUE,NEW MEXICO TRANSLOADING LLC,,RAIL,RAIL,BNSF,774900000,87105,"ALBUQUERQUE, NM"
3601 PAN AMERICAN FWY,US,35.1214371,-106.6282417,US TRANSPORT-ALBUQUERQUE,US TRANSPORT INC,,RAIL,RAIL,BNSF,774900000,87107,"ALBUQUERQUE, NM"
310 RAIL SIDE,US,42.1483,-91.6185,LINN COOPERATIVE-ALBURNETT,LINN COOPERATIVE OIL COMPANY,0010g00001iToIr,TRUCK,TRUCK,"","",52202,"ALBURNETT, IA"
HWY 521 I 95,US,33.7505561,-80.2152257,SOUTHERN STATES-ALCOLU,SOUTHERN STATES COOPERATIVE INC,0017000000yIUqe,RAIL,RAIL,CSXT,445734000,29001,"ALCOLU, SC"
13730 HWY S27,US,42.503191,-93.379776,AGVANTAGE FS-ALDEN,AGVANTAGE FS INC,0010g00001eOKQY,RAIL|TRUCK,RAIL|TRUCK,UP,756436000,50006,"ALDEN, IA"
13600 HWY 359,US,42.5202,-93.376,INNOVATIVE AG-ALDEN,INNOVATIVE AG SERVICES CO,0017000000yIUxI,RAIL|TRUCK,RAIL|TRUCK,CN,533833000,50006,"ALDEN, IA"
63025 150TH ST,US,43.571606,-93.606136,NUTRIEN AG-ALDEN,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,,,56009,"ALDEN, MN"
174 1ST AVE W,US,43.669747,-93.577143,NEXUS COOPERATIVE-ALDEN,NEXUS COOPERATIVE,0014u000026jAGp,TRUCK,TRUCK,"","",56009,"ALDEN, MN"
23282 620TH AVE,US,43.691774,-93.627368,HIYIELD PRODUCTS-ALDEN,HIYIELD PRODUCTS INC,0017000000yIUxg,RAIL|TRUCK,RAIL|TRUCK,CPRS,508673000,56009,"ALDEN, MN"
1968 HWY 17,US,41.203966,-90.715732,NOVUS AG-ALEDO,NOVUS AG LLC,0010g00001derCW,TRUCK,TRUCK,"","",61231,"ALEDO, IL"
250 190TH ST,US,42.803709,-93.448614,AGVANTAGE FS-ALEXANDER,AGVANTAGE FS INC,0010g00001eOKQY,TRUCK,TRUCK,"","",50420,"ALEXANDER, IA"
200 W K 96,US,38.4622,-99.5489,MID STATE-ALEXANDER,MID STATE FARMERS COOP,0010g00001bqImm,RAIL|TRUCK,RAIL|TRUCK,BNSF|KO|UP,594597000,67513,"ALEXANDER, KS"
2676 1ST AVE,US,41.0654,-90.5773,NUTRIEN AG-ALEXIS,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",61412,"ALEXIS, IL"
419 S PHILLIPS ST,US,43.065202,-94.226576,NEW COOPERATIVE-ALGONA,NEW COOPERATIVE INC,0017000000yIUtv,TRUCK,TRUCK,"","",50511,"ALGONA, IA"
2108 140TH AVE,US,43.0719,-94.2266,AG PROCESSING (ALGONA),AG PROCESSING INC,0017000000yW3ki,TRUCK|RAIL,TRUCK|RAIL,CPRS,541160000,50511,"ALGONA, IA"
215 W OAK AVE,US,36.5082,-98.4725,COOP FARMERS-ALINE,COOP FARMERS INC,0017000000yIVuV,TRUCK,TRUCK,,,73716,"ALINE, OK"
600 NE 134TH AVE,US,41.806125,-93.609568,HEARTLAND COOP-ALLEMAN,HEARTLAND COOP,0017000000yIUxp,TRUCK,TRUCK,"","",50007,"ALLEMAN, IA"
21546 HWY 1,US,38.5316,-87.7094,WABASH VALLEY-ALLENDALE,WABASH VALLEY SERVICE CO,0017000000yIRgY,TRUCK,TRUCK,"","",62410,"ALLENDALE, IL"
309 Yates St,US,39.9094,-87.9332,HELENA AGRIENTERPRISES-ALLERTON,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,TRUCK,TRUCK,"","",61810,"ALLERTON, IL"
309 E YATES,US,39.9101,-87.935,ALLERTON SUPPLY-ALLERTON,ALLERTON SUPPLY COMPANY,0017000000yIV2f,TRUCK,TRUCK,,,61810,"ALLERTON, IL"
724 W 3RD ST,US,42.097142,-102.879451,WESTERN COOPERATIVE-ALLIANCE,WESTERN COOPERATIVE COMPANY,,RAIL|TRUCK,RAIL|TRUCK,BNSF,552460000,69301,"ALLIANCE, NE"
,US,42.1187,-102.8792,WESTCO -ALLIANCE,WESTCO,0010g00001eOKuX,TRUCK,TRUCK,"","",69301,"ALLIANCE, NE"
1610 COUNTY RD 65,US,42.209355,-102.976331,SIMPLOT AB-ALLIANCE,SIMPLOT AB RETAIL INC DBA SIMPLOT GROWER SOLUTIONS,,RAIL|TRUCK,RAIL|TRUCK,BNSF,552442000,69301,"ALLIANCE, NE"
20902 IA-3 W,US,42.7443,-92.8118,AGVANTAGE FS-ALLISON,AGVANTAGE FS INC,0010g00001eOKQY,TRUCK,TRUCK,"","",50602,"ALLISON, IA"
18041 Sugar Crk Rd,US,38.8376,-87.5858,WABASH VALLEY-FLAT ROCK,WABASH VALLEY SERVICE CO,0017000000yIRgY,TRUCK,TRUCK,"","",62439,"ALLISON, IL"
805 RAILROAD ST,US,38.7231,-88.9079,EFFINGHAM EQUITY-ALMA,EFFINGHAM EQUITY,0017000000yIUzn,RAIL|TRUCK,RAIL|TRUCK,CN,395631000,62807,"ALMA, IL"
"",US,39.09583,-93.54801,ALMA MO- RR STATION,"","",RAIL,RAIL,KCS,569216000,64001,"ALMA, MO"
1001 N HWY 183,US,40.0975,-99.362,CHS INC-ALMA,CHS INC,0017000000yIV1Q,RAIL|TRUCK,RAIL|TRUCK,BNSF|NKCR,558860000,68920,"ALMA, NE"
11398 719 RD,US,40.249647,-99.369165,NUTRIEN AG-ALMA,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",68920,"ALMA, NE"
,US,45.4156,-92.0303,SYNERGY COMMUNITY-ALMENA,SYNERGY COMMUNITY COOPERATIVE DBA SYNERGY COOPERATIVE,0017000000yIQb3,TRUCK,TRUCK,"","",54805,"ALMENA, WI"
3201 AVE 54,US,35.8877,-119.4863,NUTRIEN AG-ALPAUGH,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL,RAIL,BNSF|WFS,877593000,93201,"ALPAUGH, CA"
,US,44.187,-98.3703,KELSEY SEED-ALPENA,KELSEY SEED AG LLC,0010g00001m59hs,TRUCK,TRUCK,"","",57312,"ALPENA, SD"
13 N MAIN ST,US,42.675099,-95.302158,AGSTATE -ALTA,AGSTATE,0014u00001yQCNb,RAIL|TRUCK,RAIL|TRUCK,CN,544264000,51002,"ALTA, IA"
905 S MAIN ST,US,39.041445,-88.748148,EFFINGHAM EQUITY-ALTAMONT,EFFINGHAM EQUITY,0017000000yIUzn,TRUCK,TRUCK,"","",62411,"ALTAMONT, IL"
1509 MIDWEST AVE,US,42.993,-96.0018,AGSTATE -ALTON,AGSTATE,0014u00001yQCNb,RAIL|TRUCK,RAIL|TRUCK,UP,542855000,51003,"ALTON, IA"
306 MILL ST,US,39.470592,-98.947803,MIDWAY COOPERATIVE-ALTON,MIDWAY COOPERATIVE ASSOCIATION,,TRUCK,TRUCK,,,67623,"ALTON, KS"
"",US,41.47532,-120.53554,ALTURAS CA- RR STATION,"","",RAIL,RAIL,UP,870160000,96101,"ALTURAS, CA"
2109 ASPHALT RD,US,34.6313333,-99.3038049,"FARMERS UNION ALTUS, OK",FARMERS UNION COOPERATIVE GIN ALTUS OK DBA HUMPHREYS COOP,,RAIL|TRUCK,RAIL|TRUCK,BNSF,639850000,73521,"ALTUS, OK"
2109 ASPHALT RD,US,34.631725,-99.303198,FARMERS UNION-ALTUS,FARMERS UNION COOPERATIVE GIN ALTUS OK DBA HUMPHREYS COOP,,TRUCK,TRUCK,,,73521,"ALTUS, OK"
1509 W BROADWAY ST,US,34.638707,-99.352918,COTTON GROWERS-ALTUS,COTTON GROWERS COOPERATIVE,0017000001BelQD,TRUCK,TRUCK,,,73521,"ALTUS, OK"
1509 W BROADWAY ST,US,34.638754,-99.352855,"COTTON GROWERS ALTUS, OK",COTTON GROWERS COOPERATIVE,0017000001BelQD,RAIL|TRUCK,RAIL|TRUCK,BNSF,639850000,73521,"ALTUS, OK"
420 SANTA FE ST,US,36.807556,-98.664239,WHEELER BROTHERS-ALVA,WHEELER BROTHERS GRAIN COMPANY LLC,0017000000yIUoP,TRUCK,TRUCK,,,73717,"ALVA, OK"
FARM DROP,US,36.82534,-98.70629,MACKEY FARMS-ALVA,MACKEY FARMS,,TRUCK,TRUCK,,,73717,"ALVA, OK"
304 3RD ST,US,43.342041,-96.303997,COOPERATIVE FARMERS-ALVORD,COOPERATIVE FARMERS ELEVATOR,0014u00001ozKlT,TRUCK,TRUCK,"","",51230,"ALVORD, IA"
17768 COUNTRY RD H50,US,41.671,-84.4577,WILBURELLIS COMPANY-BRYAN,WILBURELLIS COMPANY,0017000000yIUoL,TRUCK,TRUCK,,,43501,"ALVORDTON, OH"
"",US,35.19439,-101.69422,AMARILLO TX- RR STATION,"","",RAIL,RAIL,BNSF,672700000,79101,"AMARILLO, TX"
1847 RICHARDSON RD,US,41.6757,-89.2759,NUTRIEN AG-AMBOY,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",61310,"AMBOY, IL"
"",US,31.59316,-83.0116,AMBROSE GA- RR STATION,"","",RAIL,RAIL,CSXT,466350000,31512,"AMBROSE, GA"
179 HARRISON ST,US,42.786149,-112.854382,BINGHAM AG-AMERICAN FALLS,BINGHAM AG SERVICES LLC,0014u00001vTNIt,RAIL|TRUCK,RAIL|TRUCK,UP,836343000,83211,"AMERICAN FALLS, ID"
585 E STATE RD,US,40.3955,-111.7952,RHINEHART OIL (AMERICAN FORK),RHINEHART OIL COMPANY INC,0017000001UuM0J,RAIL,RAIL,BNSF|UP,764325000,84003,"AMERICAN FORK, UT"
,US,42.031,-93.6164,LANDUS COOPERATIVE-AMES,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",50010,"AMES, IA"
1829 N 260TH RD,US,39.570307,-97.445165,AURORA COOPERATIVE-AMES,AURORA COOPERATIVE,0017000000yIV2G,TRUCK,TRUCK,,,66901,"AMES, KS"
52496 S CR 271,US,36.2458,-98.185,NORTHWEST INVESTMENTS - AMES,NORTHWEST INVESTMENT,0014u00001vUfrU,TRUCK,TRUCK,"","",73718,"AMES, OK"
400 E MAIN ST,US,36.246281,-98.183014,GREAT BEND-AMES,GREAT BEND COOP ASSN,0010g00001m3MW2,TRUCK,TRUCK,,,73718,"AMES, OK"
"",US,36.24926,-98.17935,AMES OK- RR STATION,"","",RAIL,RAIL,UP,631850000,73718,"AMES, OK"
52496 S COUNTY RD 271,US,36.2569159,-98.171341,"NORTHWEST INVESTMENTS AMES, OK",NORTHWEST INVESTMENTS LLC,,RAIL|TRUCK,RAIL|TRUCK,GNBC,631850000,73718,"AMES, OK"
3895 CROP CARE CT,US,44.4706,-89.3101,GROWMARK INC-AMHERST JUNCTION,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",54407,"AMHERST JUNCTION, WI"
9136 W HWY 6,US,39.8939,-94.4787,STAGNER FERTILIZER-AMITY,STAGNER FERTILIZER LLC,0014u00001t0dKz,TRUCK,TRUCK,,,64422,"AMITY, MO"
"",US,33.96914,-88.47732,AMORY MS- RR STATION,"","",RAIL,RAIL,BNSF,483128000,38821,"AMORY, MS"
"",US,33.82883,-117.9297,ANAHEIM CA- RR STATION,"","",RAIL,RAIL,UP,887110000,92803,"ANAHEIM, CA"
38263 E 2000 N RD,US,40.576549,-88.550257,GROWMARK INC-ANCHOR,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",61720,"ANCHOR, IL"
"",US,61.2207,-149.8835,ANCHORAGE AK- RR STATION,"","",RAIL,RAIL,ARR,810100000,99510,"ANCHORAGE, AK"
219 N MAIN ST,US,37.79331,-97.6302196,"KANZA COOPERATIVE ANDALE, KS",KANZA COOPERATIVE ASSOCIATION,0017000000yW3tc,RAIL|TRUCK,RAIL|TRUCK,UP,588428000,67001,"ANDALE, KS"
14139 US HWY 84,US,31.3374,-86.5212,ARCLIN USA-ANDALUSIA,ARCLIN USA LLC,0017000000yIUlr,RAIL|TRUCK,RAIL|TRUCK,CSXT|TNHR,478460000,36421,"ANDALUSIA, AL"
"",US,40.09842,-85.67366,ANDERSON (ICRK) IN- RR STATION,"","",RAIL,RAIL,NS,367860000,46011,"ANDERSON, IN"
,US,40.163912,-85.786022,CHS ANDERSON,CHS INC,0017000000yIV1Q,TRUCK,TRUCK,,,46011,"ANDERSON, IN"
4002 W 600 N,US,40.193571,-85.747345,KEYSTONE COOPERATIVE-ANDERSON,KEYSTONE COOPERATIVE INC,0014u000029eX5u,RAIL,RAIL,ICRK|NS,367860000,46011,"ANDERSON, IN"
1471 AMITY RD,US,34.5202018,-82.5987204,"SUN GRO ANDERSON, SC",SUN GRO HORTICULTURE,,RAIL|TRUCK,RAIL|TRUCK,PKHP,443650000,29621,"ANDERSON, SC"
54685 175TH ST,US,43.7238,-92.9896,CENTRAL FARM-ANDYVILLE,CENTRAL FARM SERVICE,0017000001Uw4AZ,TRUCK,TRUCK,"","",55912,"ANDYVILLE, MN"
98 CHESTNUT ST,US,41.4445,-94.7646,NEW COOPERATIVE-ANITA,NEW COOPERATIVE INC,0017000000yIUtv,RAIL|TRUCK,RAIL|TRUCK,IAIS,549113000,50020,"ANITA, IA"
101 PATRIOT WAY,US,41.393112,-89.871949,RIVER VALLEY-ANNAWAN,RIVER VALLEY COOPERATIVE,0017000000yIW29,RAIL|TRUCK,RAIL|TRUCK,IAIS,385337000,61234,"ANNAWAN, IL"
EIRR TRACK LEASE,US,43.6318575,-111.773575,VALLEY AGRONOMICS-RIRIE,VALLEY AGRONOMICS LLC,0017000000yIUou,RAIL|TRUCK,RAIL|TRUCK,EIRR|UP,835142000,83442,"ANNIS, ID"
79942 HWY 183,US,41.415211,-99.385643,COUNTRY PARTNERS-ANSLEY,COUNTRY PARTNERS COOPERATIVE,0017000000yIUaR,TRUCK,TRUCK,"","",68814,"ANSLEY, NE"
"",US,40.21218,-84.63417,ANSONIA OH- RR STATION,"","",RAIL,RAIL,CSXT,349942000,45303,"ANSONIA, OH"
2309 HWY 31,US,42.3698,-95.8836,NEW COOPERATIVE-ANTHON,NEW COOPERATIVE INC,0017000000yIUtv,TRUCK,TRUCK,"","",51004,"ANTHON, IA"
207 N MILLER AVE,US,42.389896,-95.867515,NUTRIEN AG-ANTHON,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",51004,"ANTHON, IA"
"",US,29.28825,-82.10655,ANTHONY FL- RR STATION,"","",RAIL,RAIL,CSXT,495935000,32617,"ANTHONY, FL"
2311 CLERMONT ST,US,45.163919,-89.152813,GROWMARK INC-ANTIGO,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",54409,"ANTIGO, WI"
101 MAIN ST,US,48.9556,-101.286,DAKOTA AGRONOMY-ANTLER,DAKOTA AGRONOMY PARTNERS LLC,0017000000yW3yc,TRUCK,TRUCK,,,58711,"ANTLER, ND"
12151 CO63,US,39.743672,-103.2192475,ANTON COOPERATIVE-ANTON,ANTON COOPERATIVE ASSOCIATION,0010g00001kinnO,TRUCK,TRUCK,,,80801,"ANTON, CO"
130 W FLOYD,US,34.8838,-98.3613,APACHE FARMERS-APACHE,APACHE FARMERS COOPERATIVE,0017000000yIV2S,RAIL|TRUCK,RAIL|TRUCK,UP,634686000,73006,"APACHE, OK"
17995 IA-57,US,42.5835,-92.8702,AGVANTAGE FS-APLINGTON,AGVANTAGE FS INC,0010g00001eOKQY,TRUCK,TRUCK,"","",50604,"APLINGTON, IA"
6142 N LK NUMBER 1 RD,US,42.4617,-90.1689,NUTRIEN AG-APPLE RIVER,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",61001,"APPLE RIVER, IL"
16646 CHESNUT ST,US,34.4264617,-117.2995104,RB JACOBSON-HESPERIA,RB JACOBSON INC,,RAIL,RAIL,BNSF|UP,880207000,92308,"APPLE VALLEY, CA"
HWY 119 S 458 MUNSTERMAN ST,US,45.2039,-96.021,WESTERN CONSOLIDATED-APPLETON,WESTERN CONSOLIDATED COOPERATIVES HOLLOWAY MN,0017000000yIUoa,RAIL|TRUCK,RAIL|TRUCK,BNSF|TCWR|UP,506794000,56208,"APPLETON, MN"
10800 RIVER RD,US,29.9145344,-89.9245289,CORNERSTONE CHEMICAL-NEW ORLEANS,CORNERSTONE CHEMICAL COMPANY,0017000000yIUma,BARGE|RAIL,BARGE|RAIL,BNSF|CN|CSXT|KCS|NOPB|NS|UP,647000000,70032,"ARABI, LA"
