locationName,locationOwnerId,locationOwner,address,cityState,zipcode,splc,country,latitude,longitude,inboundModes,outboundModes,servicingCarriers,logisticsProductGroupName,qtyUnit,qty
DELEK RENEWABLES (CROSSETT),0017000000yITAk,DELEK RENEWABLES LLC,117 MACGOOGAN DR,"CROSSETT, AR",71635,"",US,33.1359,-91.9675,TRUCK,TRUCK,"",METHANOL,GAM,1330080
HAMPEL OIL (MONAHANS),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,1550 W 26TH ST,"MONAHANS, TX",79756,"",US,31.5796,-102.8964,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
BARTON SOLVENTS (BETTENDORF),0017000000yIPVO,BARTON SOLVENTS INC,204 36TH ST,"BETTENDORF, IA",52722,534576,US,41.5531,-90.4912,RAIL,RAIL,"",METHANOL,GAM,0
HIGHLINE WARREN (GREENSBORO),0014u00001wrGSS,HIGHLINE WARREN LLC,112 MAXFIELD RD,"GREENSBORO, NC",27405,"",US,36.0849,-79.7183,TRUCK,TRUCK,"",METHANOL,GAM,0
HEXION INC (GEISMAR),0017000000yIW2f,HEXION INC,4338 HIGHWAY 73,"GEISMAR, LA",70734,"",US,30.2072,-91.0194,TRUCK,TRUCK,"",METHANOL,GAM,144646200
HEXION INC (HOPE),0017000000yIW2f,HEXION INC,185 N INDUSTRIAL DR,"HOPE, AR",71801,618349,US,33.6584,-93.5904,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,48547920
SOLVAY SPECIALTY (HOUSTON),0017000001MQHpd,SOLVAY SPECIALTY POLYMERS USA LLC,1130 INDEPENDENCE PKWY S,"HOUSTON, TX",77571,"",US,29.7166,-95.0878,TRUCK,TRUCK,"",METHANOL,GAM,0
CAMCO MANUFACTURING (ELKHART),0010g00001aLjMN,CAMCO MANUFACTURING INC,2912 LEER CT,"ELKHART, IN",46514,"",US,41.7295,-85.9486,TRUCK,TRUCK,"",METHANOL,GAM,0
LOUISIANA STATE (RAYNE),0017000000yIUe4,LOUISIANA STATE UNIVERSITY,1373 CAFFEY RD,"RAYNE, LA",70578,"",US,30.2325,-92.2644,TRUCK,TRUCK,"",METHANOL,GAM,0
DOW SILICONES (CARROLLTON),00170000012yAST,DOW SILICONES CORPORATION,4770 HIGHWAY 42 E,"CARROLLTON, KY",41008,"",US,38.7096,-85.1059,TRUCK,TRUCK,"",METHANOL,GAM,91443000
SEABOARD ENERGY (GUYMON),0014u00001wIRTP,SEABOARD ENERGY,3287 DESERT RD,"GUYMON, OK",73942,"",US,36.687,-101.4835,TRUCK,TRUCK,"",METHANOL,GAM,0
SEABOARD ENERGY (SAINT JOSEPH),0014u00001wIRTP,SEABOARD ENERGY,5701 STOCKYARDS EXPY,"SAINT JOSEPH, MO",64504,"",US,39.7066,-94.869,TRUCK,TRUCK,"",METHANOL,GAM,0
EVONIK CORPORATION (THEODORE),00170000019tK92,EVONIK CORPORATION,4201 EVONIK RD,"THEODORE, AL",36582,"",US,30.5145,-88.1408,TRUCK,TRUCK,"",METHANOL,GAM,11638200
BARTON SOLVENTS (EL DORADO),0017000000yIPVO,BARTON SOLVENTS INC,2601 PIONEER DR,"EL DORADO, KS",67042,588250,US,37.8178,-96.8523,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
BRENNTAG SOUTHWEST (IBERVILLE),0017000000yIV1j,BRENNTAG SOUTHWEST INC,7200 HWY 74,"IBERVILLE, LA",70776,"",US,30.2827,-91.1053,TRUCK,TRUCK,"",METHANOL,GAM,0
EXXONMOBIL OIL (BAYTOWN),0017000000yIQ3g,EXXONMOBIL OIL CORPORATION,3525 DECKER DR,"BAYTOWN, TX",77520,"",US,29.7598,-95.0055,TRUCK,TRUCK,"",METHANOL,GAM,0
WATER TECH (BACHE),0014u0000232mt7,WATER TECH INC,4101 W HWY 31,"BACHE, OK",74501,"",US,34.9523,-95.7578,TRUCK,TRUCK,"",METHANOL,GAM,0
HAMPEL OIL (GEORGETOWN),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,2675 HWY 16,"GEORGETOWN, AR",72143,"",US,35.2445,-91.7429,TRUCK,TRUCK,"",METHANOL,GAM,0
HIGHLINE WARREN (LEOMINSTER),0014u00001wrGSS,HIGHLINE WARREN LLC,272 NASHUA ST,"LEOMINSTER, MA",01453,145155,US,42.5279,-71.7545,RAIL,RAIL,"",METHANOL,GAM,0
EXXONMOBIL OIL (BATON ROUGE),0017000000yIQ3g,EXXONMOBIL OIL CORPORATION,3329 SCENIC HIGHWAY,"BATON ROUGE, LA",70805,"",US,30.4799,-91.211,TRUCK,TRUCK,"",METHANOL,GAM,0
JACKSON OIL (SEDAN),0017000000yIQQ0,JACKSON OIL COMPANY AT MATTOON INC,205 INDUSTRIAL PKWY,"SEDAN, IN",46793,"",US,41.4408,-85.0181,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG GREAT (GRAND RAPIDS),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,3900 44TH ST SE,"GRAND RAPIDS, MI",49512,"",US,42.8851,-85.5481,TRUCK,TRUCK,"",METHANOL,GAM,0
DUPONT SPECIALTY (PASADENA),0014u00001oyZ1p,DUPONT SPECIALTY PRODUCTS USA LLC,9701 BAYPORT BLVD,"PASADENA, TX",77507,"",US,29.6187,-95.0598,TRUCK,TRUCK,"",METHANOL,GAM,1662600
MITSUBISHI CHEMICAL (MEMPHIS),0014u00001ozyUu,MITSUBISHI CHEMICAL AMERICA INC,LUCY WOODSTOCK,"MEMPHIS, TN",38127,"",US,35.2236,-90.0046,TRUCK,TRUCK,"",METHANOL,GAM,19951200
SOLVAY SPECIALTY (SNYDER),0017000001MQHpd,SOLVAY SPECIALTY POLYMERS USA LLC,506 COUNTY RD 137,"SNYDER, TX",79549,"",US,32.7405,-100.9008,TRUCK,TRUCK,"",METHANOL,GAM,0
EXXONMOBIL OIL (BEAUMONT),0017000000yIQ3g,EXXONMOBIL OIL CORPORATION,1795 BURT ST,"BEAUMONT, TX",77701,"",US,30.0666,-94.0762,TRUCK,TRUCK,"",METHANOL,GAM,0
CHAMPIONX LLC (ODESSA),0010g00001m4T5w,CHAMPIONX LLC,115 PROCTOR AVE,"ODESSA, TX",79762,694250,US,31.8917,-102.3506,RAIL,RAIL,"",METHANOL,GAM,0
AG PROCESSING (SERGEANT BLUFF),0017000000yW3ki,AG PROCESSING INC,2753 PORT NEAL RD,"SERGEANT BLUFF, IA",51054,547464,US,42.3949,-96.3554,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,5985360
"SMITTY'S SUPPLY (ARCOLA)",0014u00001znEFj,"SMITTY'S SUPPLY INC.",63399 US 51,"ARCOLA, LA",70456,"",US,30.7754,-90.5181,TRUCK,TRUCK,"",METHANOL,GAM,0
INEOS OLEFINS (PORT LAVACA),0014u000029ffyk,INEOS OLEFINS & POLYMERS USA,13050 STATE HIGHWAY 185 N,"PORT LAVACA, TX",77979,"",US,28.572,-96.8333,TRUCK,TRUCK,"",METHANOL,GAM,16626000
US VENTURE (PECOS),0014u00001znQ6t,US VENTURE INC,2501 W 3RD ST,"PECOS, TX",79772,695430,US,31.4142,-103.5005,RAIL,RAIL,"",METHANOL,GAM,0
ASCEND PERFORMANCE (ALVIN),0017000000yIV2L,ASCEND PERFORMANCE MATERIALS LLC,FM 2917 RD,"ALVIN, TX",77511,"",US,29.2508,-95.2075,TRUCK,TRUCK,"",METHANOL,GAM,12303240
CELANESE SALES (DEER PARK),0014u00001vTdKU,CELANESE SALES US LTD,9502 BAYPORT BLVD,"DEER PARK, TX",77507,"",US,29.6225,-95.0633,TRUCK,TRUCK,"",METHANOL,GAM,246064800
MANLY TERMINAL (MANLY),0010g00001cVX44,MANLY TERMINAL,1575 380TH ST,"MANLY, IA",50456,533173,US,43.2853,-93.2178,RAIL,RAIL,"",METHANOL,GAM,0
VP RACING (ELMENDORF),0014u00001vV2HQ,VP RACING FUELS INC,7124 RICHTER RD,"ELMENDORF, TX",78112,"",US,29.2301,-98.362,TRUCK,TRUCK,"",METHANOL,GAM,0
SAFETY KLEEN (BRUNSWICK),0017000000yIUrC,SAFETY KLEEN SYSTEMS INC,1169 INDUSTRIAL PKWY N,"BRUNSWICK, OH",44212,"",US,41.2459,-81.8323,TRUCK,TRUCK,"",METHANOL,GAM,0
ARCLIN USA (TOLEDO),0017000000yIUlr,ARCLIN USA LLC,6175 AMERICAN RD,"TOLEDO, OH",43612,"",US,41.7291,-83.5212,TRUCK,TRUCK,"",METHANOL,GAM,7980480
ARCLIN USA (MONCURE),0017000000yIUlr,ARCLIN USA LLC,790 CORINTH RD,"MONCURE, NC",27559,"",US,35.604,-79.0478,TRUCK,TRUCK,"",METHANOL,GAM,25604040
CARGILL INCORPORATED (WICHITA),0017000000yIV1J,CARGILL INCORPORATED,1417 N BARWISE ST,"WICHITA, KS",67214,588440,US,37.7035,-97.3174,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
HEXION INC (LULING),0017000000yIW2f,HEXION INC,12513 QUEENIE RD,"LULING, LA",70070,"",US,29.91,-90.3576,TRUCK,TRUCK,"",METHANOL,GAM,31589400
DELEK RENEWABLES (CLEBURNE),0017000000yITAk,DELEK RENEWABLES LLC,3102 WINDMILL RD,"CLEBURNE, TX",76033,668550,US,32.331,-97.4248,RAIL,RAIL,"",METHANOL,GAM,1995120
HAMPEL OIL (DUNLAY),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,911 CARTER,"DUNLAY, TX",78861,"",US,29.3648,-99.1249,TRUCK,TRUCK,"",METHANOL,GAM,0
GEORGIA-PACIFIC CONSUMER (BIRKENFELD),00170000013l0dz,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,OFFLOAD POINT 5,"BIRKENFELD, OR",97016,"",US,46.1056,-123.2345,TRUCK,TRUCK,"",METHANOL,GAM,0
HERO BX (CYPRESS),0014u00001wrH20,HERO BX ALABAMA LLC,12982 CHEROKEE BEND DR,"CYPRESS, AL",35474,"",US,32.9598,-87.611,TRUCK,TRUCK,"",METHANOL,GAM,0
BAKELITE CHEMICALS (GRAYLING),0014u00001wIsM6,BAKELITE CHEMICALS LLC,4113 W 4 MILE RD,"GRAYLING, MI",49738,311960,US,44.6727,-84.6528,RAIL,RAIL,"",METHANOL,GAM,9975600
BARTON SOLVENTS (EDWARDSVILLE),0017000000yIPVO,BARTON SOLVENTS INC,901 S 66TH TER,"EDWARDSVILLE, KS",66111,581577,US,39.0824,-94.7852,RAIL,RAIL,"",METHANOL,GAM,0
INV NYLON (RAISIN),0014u00001noz37,INV NYLON CHEMICALS AMERICAS LLC,2695 OLD BLOOMINGTON RD N,"RAISIN, TX",77905,"",US,28.7802,-97.065,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG NORTH (ALLSTON),0017000001UxDV6,BRENNTAG NORTH AMERICA INC,52 CAMBRIDGE ST,"ALLSTON, MA",02134,"",US,42.3599,-71.1189,TRUCK,TRUCK,"",METHANOL,GAM,0
PRAXAIR DISTRIBUTION (GEISMAR),0017000000yIR2O,PRAXAIR DISTRIBUTION,9154 LA-75,"GEISMAR, LA",70734,"",US,30.1964,-91.0138,TRUCK,TRUCK,"",METHANOL,GAM,9975600
CANDLE LAMP (MEMPHIS),0017000000yIUcr,CANDLE LAMP COMPANY LLC,2511 HARBOR AVE,"MEMPHIS, TN",38113,439900,US,35.1062,-90.1205,RAIL,RAIL,"",METHANOL,GAM,0
BRAINERD CHEMICAL (TUTTLE),0017000000yIT4V,BRAINERD CHEMICAL COMPANY INC,1450 COUNTY RD 1240,"TUTTLE, OK",73089,626810,US,35.2806,-97.762,RAIL,RAIL,"",METHANOL,GAM,0
HAMPEL OIL (MAYSVILLE),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,12876 N COUNTY RD 3120,"MAYSVILLE, OK",73057,"",US,34.8258,-97.4153,TRUCK,TRUCK,"",METHANOL,GAM,0
OCCIDENTAL CHEMICAL (GEISMAR),0017000000yIQvB,OCCIDENTAL CHEMICAL CORPORATION,8318 ASHLAND RD,"GEISMAR, LA",70734,"",US,30.1878,-90.9808,TRUCK,TRUCK,"",METHANOL,GAM,21946320
SABIC AMERICAS (SELKIRK),0017000000yIUrD,SABIC AMERICAS INC,1 NORYL AVE,"SELKIRK, NY",12158,"",US,42.5728,-73.8524,TRUCK,TRUCK,"",METHANOL,GAM,16626000
ARGUINDEGUI OIL (BEEVILLE),0017000000zxHux,ARGUINDEGUI OIL CO II LTD,2001 W CORPUS CHRISTI ST,"BEEVILLE, TX",78102,"",US,28.4058,-97.7497,TRUCK,TRUCK,"",METHANOL,GAM,0
THE HALLSTAR (FOREST OAKS),0014u00002310e9,THE HALLSTAR COMPANY,520 BROOME RD,"FOREST OAKS, NC",27406,"",US,36.0247,-79.7832,TRUCK,TRUCK,"",METHANOL,GAM,0
CONE SOLVENTS (BAUCUM),0017000001QytUr,CONE SOLVENTS,1814 CENTRAL AIRPORT RD,"BAUCUM, AR",72117,"",US,34.7783,-92.1834,TRUCK,TRUCK,"",METHANOL,GAM,0
ARCLIN USA (SPRINGFIELD),0017000000yIUlr,ARCLIN USA LLC,475 28TH ST,"SPRINGFIELD, OR",97477,"",US,44.0488,-122.9865,TRUCK,TRUCK,"",METHANOL,GAM,17956080
CONE SOLVENTS (INGOMAR),0017000001QytUr,CONE SOLVENTS,823 STATE HWY 15 N,"INGOMAR, MS",38652,"",US,34.4852,-89.008,TRUCK,TRUCK,"",METHANOL,GAM,0
HAMPEL OIL (LUCERNEMINES),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,15 9TH ST,"LUCERNEMINES, PA",15754,"",US,40.5485,-79.1519,TRUCK,TRUCK,"",METHANOL,GAM,0
FLINT HILLS (EULESS),0017000000yIUyj,FLINT HILLS RESOURCES LP,350 WESTPARK WY,"EULESS, TX",76040,"",US,32.8158,-97.0944,TRUCK,TRUCK,"",METHANOL,GAM,997560
GAYLORD CHEMICAL (TUSCALOOSA),0010g00001jjz0r,GAYLORD CHEMICAL CO LLC,1880 FAIRLAWN RD,"TUSCALOOSA, AL",35401,"",US,33.1956,-87.5664,TRUCK,TRUCK,"",METHANOL,GAM,5985360
FINORIC LLC (MIDLAND),0010g00001gNkLc,FINORIC LLC,6000 N COUNTY RD 1150,"MIDLAND, TX",79705,"",US,32.0359,-102.0834,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,0
HAMPEL OIL (ALVA),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,930 E FLYNN ST,"ALVA, OK",73717,"",US,36.8132,-98.674,TRUCK,TRUCK,"",METHANOL,GAM,0
ARGUINDEGUI OIL (LAREDO),0017000000zxHux,ARGUINDEGUI OIL CO II LTD,4506 STATE HWY 359,"LAREDO, TX",78043,"",US,27.5086,-99.4599,TRUCK,TRUCK,"",METHANOL,GAM,0
CONE SOLVENTS (NORTH LITTLE ROCK),0017000001QytUr,CONE SOLVENTS,324 N BUCKEYE ST,"NORTH LITTLE ROCK, AR",72114,612137,US,34.7654,-92.2662,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,0
ANGUS CHEMICAL (SPENCER),0017000000yIV2U,ANGUS CHEMICAL COMPANY,350 HWY 2,"SPENCER, LA",71280,"",US,32.6982,-92.0717,TRUCK,TRUCK,"",METHANOL,GAM,0
THE MEADOWS (EDINBURG),0010g00001mMc1T,THE MEADOWS GROUP LLC,27755 N FM 681,"EDINBURG, TX",78541,"",US,26.3361,-98.1936,TRUCK,TRUCK,"",METHANOL,GAM,0
STERNO PRODUCTS (TEXARKANA),0017000000yIUYn,STERNO PRODUCTS,303 FALVEY AVE,"TEXARKANA, TX",75501,"",US,33.4057,-94.1006,TRUCK,TRUCK,"",METHANOL,GAM,1662600
TAMINCO US (PACE),0010g00001kj568,TAMINCO US LLC,4459 DIAMOND ST E,"PACE, FL",32571,"",US,30.591,-87.1352,TRUCK,TRUCK,"",METHANOL,GAM,108069000
GEORGIA-PACIFIC CONSUMER (PENNINGTON),0017000001UwuLP,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,7530 HIGHWAY 114,"PENNINGTON, AL",36916,"",US,32.2233,-88.0294,TRUCK,TRUCK,"",METHANOL,GAM,0
CAPITAL RESIN (COLUMBUS),0017000001TLJkE,CAPITAL RESIN CORPORATION,324 DERING AVE,"COLUMBUS, OH",43207,"",US,39.9022,-82.9669,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,13300800
BAKELITE CHEMICALS (COLUMBUS),0014u00001wIsM6,BAKELITE CHEMICALS LLC,1975 WATKINS RD,"COLUMBUS, OH",43207,353279,US,39.9022,-82.9669,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,31921920
EVONIK CORPORATION (GARYVILLE),00170000019tK92,EVONIK CORPORATION,3606 HIGHWAY 44,"GARYVILLE, LA",70051,"",US,30.0453,-90.6293,TRUCK,TRUCK,"",METHANOL,GAM,19951200
BRUCE OAKLEY (NORTH LITTLE ROCK),0017000000yIV1g,BRUCE OAKLEY INC,3700 LINCOLN AVE,"NORTH LITTLE ROCK, AR",72114,612137,US,34.7654,-92.2662,RAIL,RAIL,"",METHANOL,GAM,0
DOW SILICONES (DEER PARK),00170000012yAST,DOW SILICONES CORPORATION,6600 LA PORTE FWY,"DEER PARK, TX",77536,"",US,29.7104,-95.0979,TRUCK,TRUCK,"",METHANOL,GAM,61516200
INTERSTATE CHEMICAL (ERIE),0017000000yIUc7,INTERSTATE CHEMICAL COMPANY INC,1432 CHESTNUT ST,"ERIE, PA",16502,214130,US,42.1133,-80.0978,RAIL,RAIL,"",METHANOL,GAM,0
MOMENTIVE PERFORMANCE (WATERFORD),0010g00001d4e5A,"MOMENTIVE PERFORMANCE MAT'LS",260 HUDSON RIVER RD,"WATERFORD, NY",12188,"",US,42.8135,-73.6673,TRUCK,TRUCK,"",METHANOL,GAM,24939000
BRENNTAG MID-SOUTH (AVONDALE),0017000000yIUj0,BRENNTAG MID-SOUTH INC,6301 NE BIRMINGHAM RD,"AVONDALE, MO",64117,566788,US,39.168,-94.5271,RAIL,RAIL,"",METHANOL,GAM,0
BRENNTAG PACIFIC (SOUTH GATE),0017000001SOPmk,BRENNTAG PACIFIC INC,4545 ARDINE ST,"SOUTH GATE, CA",90280,"",US,33.9583,-118.1904,TRUCK,TRUCK,"",METHANOL,GAM,0
